begin,open,close,high,low
2005-01-11 00:00:00,35.0,34.35,35.0,34.3
2005-01-12 00:00:00,34.35,33.81,34.75,32.57
2005-01-13 00:00:00,32.81,34.1,34.2,31.51
2005-01-14 00:00:00,34.2,34.22,34.8,34.0
2005-01-17 00:00:00,34.22,34.01,34.7,34.0
2005-01-18 00:00:00,34.35,33.21,34.45,33.0
2005-01-19 00:00:00,33.11,33.9,33.95,32.5
2005-01-20 00:00:00,34.0,33.35,34.19,33.05
2005-01-21 00:00:00,33.7,33.55,33.7,32.95
2005-01-24 00:00:00,33.55,33.2,33.65,32.65
2005-01-25 00:00:00,32.75,33.55,34.5,32.75
2005-01-26 00:00:00,34.2,33.32,34.2,33.3
2005-01-27 00:00:00,33.23,34.1,34.4,33.23
2005-01-28 00:00:00,34.19,34.79,34.8,34.01
2005-01-31 00:00:00,34.52,36.23,36.5,34.52
2005-02-01 00:00:00,36.2,37.88,38.3,36.06
2005-02-02 00:00:00,37.46,41.19,44.4,37.45
2005-02-03 00:00:00,40.85,47.0,48.2,40.2
2005-02-04 00:00:00,46.53,45.3,48.39,43.25
2005-02-07 00:00:00,43.5,44.49,45.9,43.5
2005-02-08 00:00:00,44.75,44.21,45.3,43.8
2005-02-09 00:00:00,44.0,43.55,44.0,42.02
2005-02-10 00:00:00,43.7,39.15,43.8,37.0
2005-02-11 00:00:00,39.5,38.8,39.5,38.11
2005-02-14 00:00:00,39.0,39.9,41.99,38.66
2005-02-15 00:00:00,40.0,41.09,41.69,40.0
2005-02-16 00:00:00,41.15,40.7,41.99,40.41
2005-02-17 00:00:00,40.59,40.02,41.26,40.01
2005-02-18 00:00:00,40.67,40.45,40.96,40.0
2005-02-21 00:00:00,40.7,40.0,40.7,39.72
2005-02-22 00:00:00,39.85,40.2,40.4,39.06
2005-02-24 00:00:00,40.44,41.8,43.0,40.11
2005-02-25 00:00:00,42.89,40.5,42.89,40.13
2005-02-28 00:00:00,40.39,40.69,40.99,40.32
2005-03-01 00:00:00,40.73,40.15,40.8,39.7
2005-03-02 00:00:00,40.1,40.1,40.65,40.04
2005-03-03 00:00:00,40.3,41.14,41.83,40.16
2005-03-04 00:00:00,41.5,41.72,41.9,41.0
2005-03-05 00:00:00,41.7,41.6,41.7,41.16
2005-03-09 00:00:00,41.7,40.9,41.7,40.2
2005-03-10 00:00:00,40.57,40.4,40.67,39.65
2005-03-11 00:00:00,40.36,40.0,40.7,39.8
2005-03-14 00:00:00,40.05,40.1,40.59,39.61
2005-03-15 00:00:00,40.12,40.5,41.0,39.66
2005-03-16 00:00:00,40.59,40.22,41.19,40.0
2005-03-17 00:00:00,40.25,40.65,41.2,40.11
2005-03-18 00:00:00,40.85,41.2,41.3,40.4
2005-03-21 00:00:00,41.2,41.54,42.89,41.08
2005-03-22 00:00:00,41.42,41.74,42.3,40.0
2005-03-23 00:00:00,42.0,41.48,42.0,40.51
2005-03-24 00:00:00,41.48,42.9,43.45,41.48
2005-03-25 00:00:00,43.0,45.5,45.7,43.0
2005-03-28 00:00:00,45.51,44.0,45.6,43.53
2005-03-29 00:00:00,44.59,43.47,44.64,43.23
2005-03-30 00:00:00,43.44,43.38,43.45,42.6
2005-03-31 00:00:00,43.45,43.1,44.47,42.7
2005-04-01 00:00:00,43.18,43.4,43.5,42.75
2005-04-04 00:00:00,43.2,43.0,44.0,43.0
