begin,open,close,high,low
2005-01-11 00:00:00,4.0,4.079,4.139,3.951
2005-01-12 00:00:00,4.075,4.06,4.115,4.05
2005-01-13 00:00:00,4.06,4.079,4.099,4.052
2005-01-14 00:00:00,4.09,4.044,4.098,4.04
2005-01-17 00:00:00,4.06,4.054,4.084,4.02
2005-01-18 00:00:00,4.041,4.03,4.089,4.007
2005-01-19 00:00:00,4.031,4.06,4.08,4.025
2005-01-20 00:00:00,4.05,4.047,4.08,4.03
2005-01-21 00:00:00,4.074,4.05,4.074,4.025
2005-01-24 00:00:00,4.05,4.095,4.097,4.04
2005-01-25 00:00:00,4.133,4.191,4.22,4.1
2005-01-26 00:00:00,4.191,4.18,4.219,4.152
2005-01-27 00:00:00,4.2,4.171,4.2,4.145
2005-01-28 00:00:00,3.956,4.218,4.235,3.956
2005-01-31 00:00:00,4.214,4.19,4.265,4.175
2005-02-01 00:00:00,4.2,4.215,4.24,4.157
2005-02-02 00:00:00,4.24,4.177,4.24,4.165
2005-02-03 00:00:00,4.179,4.2,4.219,4.161
2005-02-04 00:00:00,4.19,4.17,4.199,4.17
2005-02-07 00:00:00,4.16,4.073,4.195,4.06
2005-02-08 00:00:00,4.056,4.076,4.1,4.05
2005-02-09 00:00:00,4.076,4.049,4.078,4.01
2005-02-10 00:00:00,4.049,3.981,4.049,3.975
2005-02-11 00:00:00,4.0,3.987,4.005,3.961
2005-02-14 00:00:00,3.988,3.921,3.989,3.915
2005-02-15 00:00:00,3.92,3.938,3.945,3.863
2005-02-16 00:00:00,3.95,3.935,3.986,3.92
2005-02-17 00:00:00,3.941,3.929,3.969,3.92
2005-02-18 00:00:00,3.92,3.914,3.95,3.893
2005-02-21 00:00:00,3.925,3.988,3.99,3.901
2005-02-22 00:00:00,3.99,3.958,4.055,3.935
2005-02-24 00:00:00,3.959,3.97,3.999,3.931
2005-02-25 00:00:00,3.987,3.85,3.988,3.84
2005-02-28 00:00:00,3.85,3.791,3.884,3.775
2005-03-01 00:00:00,3.8,3.45,3.825,3.45
2005-03-02 00:00:00,3.612,3.29,3.612,3.271
2005-03-03 00:00:00,3.253,3.039,3.3,3.021
2005-03-04 00:00:00,3.05,3.081,3.1,2.921
2005-03-05 00:00:00,3.115,3.215,3.276,3.11
2005-03-09 00:00:00,3.15,3.14,3.26,3.087
2005-03-10 00:00:00,3.14,3.053,3.148,3.001
2005-03-11 00:00:00,3.05,3.01,3.05,2.98
2005-03-14 00:00:00,3.03,2.835,3.05,2.8
2005-03-15 00:00:00,2.845,2.785,2.888,2.72
2005-03-16 00:00:00,2.8,2.51,2.828,2.5
2005-03-17 00:00:00,2.725,2.83,2.888,2.667
2005-03-18 00:00:00,2.831,2.853,2.877,2.753
2005-03-21 00:00:00,2.936,2.851,2.936,2.845
2005-03-22 00:00:00,2.821,2.86,2.925,2.807
2005-03-23 00:00:00,2.825,2.87,2.89,2.813
2005-03-24 00:00:00,2.889,3.097,3.198,2.854
2005-03-25 00:00:00,3.1,3.093,3.142,3.055
2005-03-28 00:00:00,3.165,3.1,3.165,3.086
2005-03-29 00:00:00,3.101,3.07,3.218,2.95
2005-03-30 00:00:00,3.12,3.33,3.39,3.12
2005-03-31 00:00:00,3.388,3.2,3.397,2.88
2005-04-01 00:00:00,2.895,3.31,3.33,2.699
2005-04-04 00:00:00,2.893,2.739,3.09,2.2
2005-04-05 00:00:00,2.69,2.73,2.794,2.62
2005-04-06 00:00:00,2.739,2.72,2.939,2.694
2005-04-07 00:00:00,2.72,2.75,2.79,2.7
2005-04-08 00:00:00,2.741,2.686,2.789,2.671
2005-04-11 00:00:00,2.685,2.695,2.749,2.65
