begin,open,close,high,low
2005-01-11 00:00:00,50.15,50.88,51.79,49.6
2005-01-12 00:00:00,51.2,49.78,51.44,49.4
2005-01-13 00:00:00,49.78,49.8,50.32,49.1
2005-01-14 00:00:00,49.71,49.9,50.42,49.4
2005-01-17 00:00:00,49.8,49.35,50.94,49.35
2005-01-18 00:00:00,49.57,47.94,49.7,47.66
2005-01-19 00:00:00,48.0,48.45,48.68,47.45
2005-01-20 00:00:00,48.19,48.29,49.23,47.8
2005-01-21 00:00:00,48.2,48.53,48.78,47.83
2005-01-24 00:00:00,48.5,49.2,49.69,48.41
2005-01-25 00:00:00,49.24,49.79,50.14,49.2
2005-01-26 00:00:00,49.69,49.57,50.31,48.98
2005-01-27 00:00:00,49.62,50.19,50.27,49.25
2005-01-28 00:00:00,49.91,51.04,51.35,49.61
2005-01-31 00:00:00,51.28,50.63,52.17,50.27
2005-02-01 00:00:00,50.8,51.29,51.51,50.31
2005-02-02 00:00:00,51.35,53.41,53.71,51.15
2005-02-03 00:00:00,53.9,56.0,56.89,53.81
2005-02-04 00:00:00,55.73,57.99,58.08,55.1
2005-02-07 00:00:00,58.21,57.39,59.59,57.31
2005-02-08 00:00:00,57.23,58.46,59.15,56.51
2005-02-09 00:00:00,58.7,58.21,59.49,57.99
2005-02-10 00:00:00,58.2,57.8,58.58,57.05
2005-02-11 00:00:00,58.08,56.65,58.1,56.54
2005-02-14 00:00:00,56.5,56.15,56.8,55.81
2005-02-15 00:00:00,56.18,58.0,58.09,56.15
2005-02-16 00:00:00,58.19,58.24,59.15,57.8
2005-02-17 00:00:00,58.35,58.22,58.8,57.85
2005-02-18 00:00:00,58.0,58.96,59.88,57.5
2005-02-21 00:00:00,59.1,60.37,60.52,59.1
2005-02-22 00:00:00,60.49,58.62,60.66,57.8
2005-02-24 00:00:00,58.7,59.9,60.16,57.82
2005-02-25 00:00:00,60.65,59.8,60.74,59.56
2005-02-28 00:00:00,59.9,60.4,60.55,59.4
2005-03-01 00:00:00,60.4,59.4,60.4,58.9
2005-03-02 00:00:00,59.35,57.52,60.05,57.35
2005-03-03 00:00:00,57.57,57.9,59.13,57.43
2005-03-04 00:00:00,57.99,60.51,60.51,57.66
2005-03-05 00:00:00,60.5,61.22,61.35,60.35
2005-03-09 00:00:00,60.66,61.15,62.6,60.66
2005-03-10 00:00:00,61.1,59.35,61.27,59.08
2005-03-11 00:00:00,59.17,59.91,60.15,58.77
2005-03-14 00:00:00,59.99,58.38,59.99,58.09
2005-03-15 00:00:00,58.87,58.53,59.59,57.9
2005-03-16 00:00:00,59.1,58.22,59.6,58.01
2005-03-17 00:00:00,58.0,58.65,58.94,57.8
2005-03-18 00:00:00,59.09,58.65,60.1,58.61
2005-03-21 00:00:00,58.65,57.09,59.08,56.63
2005-03-22 00:00:00,57.09,57.6,57.7,56.36
2005-03-23 00:00:00,56.71,56.55,57.28,55.8
2005-03-24 00:00:00,56.49,58.83,59.35,56.3
2005-03-25 00:00:00,58.95,58.8,59.55,58.38
2005-03-28 00:00:00,58.81,58.57,59.24,57.96
2005-03-29 00:00:00,58.16,58.17,58.9,57.84
2005-03-30 00:00:00,57.99,58.16,58.17,57.06
2005-03-31 00:00:00,58.35,58.6,59.06,58.17
2005-04-01 00:00:00,58.8,59.35,59.48,58.35
