begin,open,close,high,low
2005-01-11 00:00:00,39.8,39.7,40.29,39.05
2005-01-12 00:00:00,39.85,39.23,39.97,39.04
2005-01-13 00:00:00,39.07,39.17,39.38,38.8
2005-01-14 00:00:00,39.15,39.28,39.32,38.87
2005-01-17 00:00:00,39.4,38.75,39.74,38.75
2005-01-18 00:00:00,38.64,37.92,38.84,37.8
2005-01-19 00:00:00,37.81,38.24,38.4,37.81
2005-01-20 00:00:00,38.44,37.61,39.0,37.61
2005-01-21 00:00:00,37.61,38.05,38.18,37.42
2005-01-24 00:00:00,37.96,38.36,38.58,37.96
2005-01-25 00:00:00,38.85,38.55,39.2,38.47
2005-01-26 00:00:00,38.89,38.29,39.0,38.02
2005-01-27 00:00:00,38.19,38.96,39.49,38.19
2005-01-28 00:00:00,39.06,39.73,39.78,38.71
2005-01-31 00:00:00,39.79,38.7,40.1,38.7
2005-02-01 00:00:00,38.46,39.18,39.24,38.46
2005-02-02 00:00:00,39.29,40.85,41.0,39.07
2005-02-03 00:00:00,40.96,41.85,42.63,40.95
2005-02-04 00:00:00,44.03,43.05,44.03,41.5
2005-02-07 00:00:00,43.39,43.03,44.38,42.85
2005-02-08 00:00:00,43.0,43.54,43.8,42.5
2005-02-09 00:00:00,43.92,43.44,44.02,43.2
2005-02-10 00:00:00,43.45,43.5,43.55,42.79
2005-02-11 00:00:00,43.67,43.03,43.87,43.03
2005-02-14 00:00:00,42.99,43.0,43.52,42.85
2005-02-15 00:00:00,43.25,43.89,43.9,43.1
2005-02-16 00:00:00,43.89,43.94,44.15,43.71
2005-02-17 00:00:00,43.99,43.99,44.1,43.7
2005-02-18 00:00:00,43.85,43.88,44.37,43.58
2005-02-21 00:00:00,44.0,44.93,45.15,44.0
2005-02-22 00:00:00,45.0,45.05,46.3,44.15
2005-02-24 00:00:00,45.01,45.44,45.6,44.6
2005-02-25 00:00:00,45.92,45.4,46.0,45.14
2005-02-28 00:00:00,45.4,45.67,45.82,44.97
2005-03-01 00:00:00,45.6,44.81,45.6,44.64
2005-03-02 00:00:00,44.69,44.45,45.49,44.36
2005-03-03 00:00:00,44.49,44.44,45.09,44.18
2005-03-04 00:00:00,44.65,45.68,45.68,44.4
2005-03-05 00:00:00,45.8,46.08,46.45,45.69
2005-03-09 00:00:00,46.1,46.45,47.47,45.91
2005-03-10 00:00:00,46.45,45.3,46.47,44.95
2005-03-11 00:00:00,45.3,45.66,45.79,44.89
2005-03-14 00:00:00,45.67,44.69,45.67,44.68
2005-03-15 00:00:00,44.75,44.98,45.45,44.55
2005-03-16 00:00:00,45.15,43.84,45.45,43.6
2005-03-17 00:00:00,44.0,44.14,44.5,43.85
2005-03-18 00:00:00,44.3,44.2,44.94,44.02
2005-03-21 00:00:00,44.13,43.13,44.34,42.95
2005-03-22 00:00:00,43.01,44.09,44.13,42.86
2005-03-23 00:00:00,43.82,43.3,44.2,42.9
2005-03-24 00:00:00,45.08,44.0,45.08,43.3
2005-03-25 00:00:00,44.29,44.43,44.89,44.02
2005-03-28 00:00:00,44.4,44.21,44.5,43.96
2005-03-29 00:00:00,44.29,44.15,44.54,43.8
2005-03-30 00:00:00,43.95,43.94,44.09,43.51
2005-03-31 00:00:00,44.0,44.0,44.25,43.76
2005-04-01 00:00:00,44.1,44.2,44.4,43.92
2005-04-04 00:00:00,44.25,44.26,44.71,44.05
2005-04-05 00:00:00,44.5,44.59,44.79,44.17
2005-04-06 00:00:00,44.8,45.52,45.6,44.72
2005-04-07 00:00:00,45.84,45.95,46.09,44.99
2005-04-08 00:00:00,48.03,47.68,48.03,45.55
2005-04-11 00:00:00,47.4,46.18,47.67,45.72
2005-04-12 00:00:00,46.15,46.4,46.4,45.55
2005-04-13 00:00:00,48.59,46.08,48.59,46.0
2005-04-14 00:00:00,45.99,45.0,46.19,44.5
2005-04-15 00:00:00,44.98,44.96,45.94,44.6
2005-04-18 00:00:00,44.83,44.37,44.83,44.12
2005-04-19 00:00:00,44.02,44.7,45.03,44.02
2005-04-20 00:00:00,44.88,46.0,46.26,44.7
2005-04-21 00:00:00,46.0,47.06,47.06,45.85
2005-04-22 00:00:00,49.23,47.05,49.23,46.86
2005-04-25 00:00:00,47.2,46.96,47.59,46.9
2005-04-26 00:00:00,46.01,46.73,47.2,46.01
2005-04-27 00:00:00,46.6,46.31,46.89,46.26
2005-04-28 00:00:00,48.81,46.5,48.81,46.14
2005-04-29 00:00:00,46.36,46.4,46.5,45.91
2005-05-03 00:00:00,46.49,46.13,46.89,45.62
2005-05-04 00:00:00,46.32,46.28,46.59,46.13
2005-05-05 00:00:00,46.49,46.2,46.71,46.01
2005-05-06 00:00:00,46.22,45.9,46.31,45.3
2005-05-11 00:00:00,43.51,41.94,43.7,41.8
2005-05-12 00:00:00,41.94,41.58,42.19,41.24
2005-05-13 00:00:00,41.35,42.14,42.28,41.2
2005-05-14 00:00:00,42.12,41.9,42.2,41.72
2005-05-16 00:00:00,39.66,40.4,41.71,39.66
2005-05-17 00:00:00,40.12,41.38,41.38,39.3
2005-05-18 00:00:00,41.65,41.28,41.65,40.86
2005-05-19 00:00:00,41.29,40.65,41.49,40.5
2005-05-20 00:00:00,40.84,40.59,40.84,40.21
2005-05-23 00:00:00,40.59,40.57,40.75,40.35
2005-05-24 00:00:00,40.84,41.26,41.39,40.5
2005-05-25 00:00:00,41.28,41.3,41.99,41.05
2005-05-26 00:00:00,41.03,41.53,41.77,41.03
2005-05-27 00:00:00,41.53,41.24,41.86,41.24
2005-05-30 00:00:00,43.7,41.15,43.7,40.87
2005-05-31 00:00:00,41.45,41.22,41.45,40.74
2005-06-01 00:00:00,41.22,41.09,41.29,40.81
2005-06-02 00:00:00,41.09,41.19,41.33,41.0
2005-06-03 00:00:00,41.19,41.32,41.47,41.05
2005-06-06 00:00:00,41.19,41.34,41.5,40.6
2005-06-07 00:00:00,41.24,41.28,41.4,41.13
2005-06-08 00:00:00,41.17,41.2,41.28,41.05
2005-06-09 00:00:00,41.28,40.92,41.28,40.92
2005-06-10 00:00:00,41.08,40.94,41.2,40.88
2005-06-14 00:00:00,41.06,42.15,42.15,41.0
2005-06-15 00:00:00,42.15,42.1,42.38,41.68
2005-06-16 00:00:00,42.1,42.3,42.91,42.1
2005-06-17 00:00:00,42.39,42.43,42.48,42.1
2005-06-20 00:00:00,42.5,42.52,42.79,42.13
2005-06-21 00:00:00,42.4,42.85,42.93,41.92
2005-06-22 00:00:00,42.62,43.54,43.83,42.62
2005-06-23 00:00:00,44.59,44.78,45.19,43.5
2005-06-24 00:00:00,44.77,44.8,45.09,44.31
2005-06-27 00:00:00,44.75,43.55,44.75,43.5
2005-06-28 00:00:00,43.53,42.82,43.61,42.77
2005-06-29 00:00:00,42.82,42.65,43.21,42.43
2005-06-30 00:00:00,42.71,42.89,42.96,42.6
2005-07-01 00:00:00,42.9,44.13,44.13,42.81
2005-07-04 00:00:00,44.13,44.1,44.8,43.85
2005-07-05 00:00:00,44.28,43.7,44.34,43.56
2005-07-06 00:00:00,43.87,44.47,44.93,43.73
2005-07-07 00:00:00,44.6,44.1,44.8,43.0
2005-07-08 00:00:00,44.18,44.4,44.9,44.0
2005-07-11 00:00:00,44.7,44.5,45.15,44.35
2005-07-12 00:00:00,43.96,43.98,44.47,43.71
2005-07-13 00:00:00,44.1,44.11,44.44,43.9
2005-07-14 00:00:00,44.3,43.89,44.3,43.55
2005-07-15 00:00:00,43.71,43.35,43.72,43.22
2005-07-18 00:00:00,43.55,42.74,43.63,42.54
2005-07-19 00:00:00,42.75,43.37,43.59,42.69
2005-07-20 00:00:00,43.47,43.66,44.09,43.3
2005-07-21 00:00:00,43.78,43.15,43.98,42.93
2005-07-22 00:00:00,43.1,43.44,43.7,42.95
2005-07-25 00:00:00,43.44,43.43,43.95,42.77
2005-07-26 00:00:00,43.3,43.2,43.61,43.01
2005-07-27 00:00:00,43.27,43.67,43.85,43.0
2005-07-28 00:00:00,43.85,44.0,44.3,43.7
2005-07-29 00:00:00,44.0,43.89,44.29,43.7
2005-08-01 00:00:00,43.61,43.38,43.7,43.07
2005-08-02 00:00:00,43.55,45.9,46.0,43.55
2005-08-03 00:00:00,46.1,44.97,46.78,44.75
2005-08-04 00:00:00,44.77,47.38,47.42,44.43
2005-08-05 00:00:00,47.23,47.0,47.7,46.66
2005-08-08 00:00:00,47.0,46.0,47.09,45.9
2005-08-09 00:00:00,46.05,46.05,46.24,45.66
2005-08-10 00:00:00,46.0,46.0,46.7,45.76
2005-08-11 00:00:00,45.99,45.34,46.1,45.09
2005-08-12 00:00:00,45.11,44.96,45.33,44.55
2005-08-15 00:00:00,44.96,45.15,45.3,44.8
2005-08-16 00:00:00,45.24,46.13,46.4,45.2
2005-08-17 00:00:00,45.71,45.7,46.6,45.0
2005-08-18 00:00:00,45.67,45.68,46.12,45.23
2005-08-19 00:00:00,45.6,47.19,47.4,45.44
2005-08-22 00:00:00,47.5,46.95,47.6,46.11
