begin,open,close,high,low
2007-07-20 00:00:00,77.4,77.24,78.3,75.52
2007-07-23 00:00:00,76.5,78.59,79.0,76.21
2007-07-24 00:00:00,78.65,77.91,81.46,77.9
2007-07-25 00:00:00,77.1,79.9,80.21,77.02
2007-07-26 00:00:00,80.0,75.71,80.49,75.5
2007-07-27 00:00:00,74.28,75.39,75.98,73.4
2007-07-30 00:00:00,75.34,75.23,76.76,74.53
2007-07-31 00:00:00,76.03,78.2,78.3,76.0
2007-08-01 00:00:00,76.0,75.6,76.5,74.53
2007-08-02 00:00:00,76.41,76.1,76.99,75.43
2007-08-03 00:00:00,76.4,75.74,76.65,75.68
2007-08-06 00:00:00,74.5,73.87,74.73,73.6
2007-08-07 00:00:00,74.8,75.01,75.6,74.44
2007-08-08 00:00:00,75.7,76.49,76.6,75.49
2007-08-09 00:00:00,77.0,73.88,77.2,73.4
2007-08-10 00:00:00,72.0,71.17,72.5,70.18
2007-08-13 00:00:00,72.0,72.45,72.65,71.35
2007-08-14 00:00:00,72.04,71.86,72.3,71.37
2007-08-15 00:00:00,70.51,69.4,70.78,69.39
2007-08-16 00:00:00,67.95,67.27,68.29,65.98
2007-08-17 00:00:00,66.65,69.84,70.85,64.96
2007-08-20 00:00:00,70.98,68.96,71.0,68.56
2007-08-21 00:00:00,68.91,67.35,69.79,66.0
2007-08-22 00:00:00,67.43,68.57,68.6,66.65
2007-08-23 00:00:00,69.27,69.03,70.14,68.41
2007-08-24 00:00:00,68.51,69.01,69.35,67.7
2007-08-27 00:00:00,70.0,69.65,70.28,69.26
2007-08-28 00:00:00,69.5,68.99,69.58,68.9
2007-08-29 00:00:00,67.68,69.23,69.48,67.4
2007-08-30 00:00:00,69.99,69.07,70.45,68.75
2007-08-31 00:00:00,69.78,70.22,71.0,69.21
2007-09-03 00:00:00,70.92,70.4,70.98,70.11
2007-09-04 00:00:00,70.05,69.6,70.43,69.35
2007-09-05 00:00:00,69.78,68.1,69.89,68.01
2007-09-06 00:00:00,68.2,68.67,69.12,67.9
2007-09-07 00:00:00,68.75,66.53,68.9,66.04
2007-09-10 00:00:00,66.0,66.3,66.77,65.75
2007-09-11 00:00:00,66.5,67.0,67.18,66.09
2007-09-12 00:00:00,67.3,66.5,67.3,66.4
2007-09-13 00:00:00,67.0,67.51,67.67,66.45
2007-09-14 00:00:00,67.79,67.4,67.88,66.75
2007-09-17 00:00:00,67.4,66.24,67.4,66.02
2007-09-18 00:00:00,66.15,67.0,67.52,65.99
2007-09-19 00:00:00,68.71,69.7,70.2,68.71
2007-09-20 00:00:00,69.62,68.44,69.62,67.6
2007-09-21 00:00:00,68.45,68.22,68.78,67.98
2007-09-24 00:00:00,68.92,68.19,68.94,68.0
2007-09-25 00:00:00,68.0,66.5,68.0,66.45
2007-09-26 00:00:00,66.85,68.8,69.12,66.85
2007-09-27 00:00:00,69.01,69.01,69.79,68.32
2007-09-28 00:00:00,69.0,69.45,70.25,68.28
2007-10-01 00:00:00,69.23,68.3,69.23,67.8
2007-10-02 00:00:00,69.22,72.1,72.4,69.16
2007-10-03 00:00:00,72.2,70.85,72.56,70.45
2007-10-04 00:00:00,70.2,68.91,71.15,68.91
2007-10-05 00:00:00,70.02,70.0,70.37,69.12
2007-10-08 00:00:00,70.55,70.52,71.19,69.99
2007-10-09 00:00:00,70.26,71.6,72.05,69.85
2007-10-10 00:00:00,72.24,70.31,72.35,70.24
2007-10-11 00:00:00,70.45,71.57,72.11,70.45
2007-10-12 00:00:00,70.5,70.92,71.6,70.0
2007-10-15 00:00:00,71.47,72.15,73.2,71.14
2007-10-16 00:00:00,71.5,71.15,71.99,71.0
2007-10-17 00:00:00,70.36,71.93,71.93,70.28
2007-10-18 00:00:00,72.0,70.62,72.25,70.12
2007-10-19 00:00:00,70.54,71.5,72.2,70.2
2007-10-22 00:00:00,70.0,70.08,70.49,69.23
