begin,open,close,high,low
2005-01-11 00:00:00,20.33,20.51,20.6,20.107
2005-01-12 00:00:00,20.6,20.67,20.93,20.282
2005-01-13 00:00:00,20.699,20.464,20.74,20.351
2005-01-14 00:00:00,20.425,20.975,21.129,20.425
2005-01-17 00:00:00,21.087,20.41,21.27,20.4
2005-01-18 00:00:00,20.458,20.15,20.565,19.9
2005-01-19 00:00:00,20.2,20.32,20.444,20.02
2005-01-20 00:00:00,20.4,19.87,20.48,19.702
2005-01-21 00:00:00,19.825,19.8,19.997,19.65
2005-01-24 00:00:00,19.876,20.079,20.1,19.8
2005-01-25 00:00:00,20.065,20.5,20.76,20.065
2005-01-26 00:00:00,20.391,20.2,20.585,19.83
2005-01-27 00:00:00,20.155,20.501,20.53,20.111
2005-01-28 00:00:00,20.5,21.11,21.2,20.25
2005-01-31 00:00:00,21.135,21.07,21.63,20.952
2005-02-01 00:00:00,21.108,21.3,21.437,20.76
2005-02-02 00:00:00,21.34,21.494,21.83,21.3
2005-02-03 00:00:00,21.5,21.37,21.748,21.35
2005-02-04 00:00:00,21.398,21.5,21.54,21.231
2005-02-07 00:00:00,21.55,21.35,21.945,21.33
2005-02-08 00:00:00,21.352,21.549,21.64,21.27
2005-02-09 00:00:00,22.32,21.21,22.32,21.2
2005-02-10 00:00:00,21.184,21.374,21.41,20.86
2005-02-11 00:00:00,21.43,21.05,21.46,20.81
2005-02-14 00:00:00,21.051,21.012,21.29,20.88
2005-02-15 00:00:00,21.11,21.11,21.14,20.625
2005-02-16 00:00:00,21.48,21.1,21.48,21.003
2005-02-17 00:00:00,20.601,21.3,21.461,20.601
2005-02-18 00:00:00,21.345,21.31,21.555,21.05
2005-02-21 00:00:00,21.35,21.48,21.58,21.21
2005-02-22 00:00:00,22.026,21.287,22.026,21.19
2005-02-24 00:00:00,21.294,21.72,21.78,21.281
2005-02-25 00:00:00,21.9,22.08,22.093,21.51
2005-02-28 00:00:00,22.15,23.198,23.34,22.01
2005-03-01 00:00:00,23.255,22.853,23.27,22.75
2005-03-02 00:00:00,23.0,22.42,23.429,22.35
2005-03-03 00:00:00,22.485,22.53,22.999,22.436
2005-03-04 00:00:00,22.575,22.85,22.948,22.575
2005-03-05 00:00:00,22.85,22.96,23.09,22.791
2005-03-09 00:00:00,23.075,22.829,23.211,22.611
2005-03-10 00:00:00,22.79,22.08,22.848,21.922
2005-03-11 00:00:00,22.652,22.07,22.652,21.801
2005-03-14 00:00:00,21.826,21.53,22.19,21.435
2005-03-15 00:00:00,21.55,21.4,22.026,21.36
2005-03-16 00:00:00,21.491,20.529,21.575,20.421
2005-03-17 00:00:00,20.5,20.85,20.95,20.5
2005-03-18 00:00:00,20.861,20.479,21.137,20.355
2005-03-21 00:00:00,20.556,20.12,20.77,20.065
2005-03-22 00:00:00,20.149,20.601,20.646,20.01
2005-03-23 00:00:00,20.4,19.952,20.448,19.751
2005-03-24 00:00:00,20.0,20.598,20.72,19.92
2005-03-25 00:00:00,20.701,20.942,21.124,20.701
2005-03-28 00:00:00,20.8,20.56,20.8,20.365
2005-03-29 00:00:00,20.55,20.408,20.599,20.215
2005-03-30 00:00:00,20.386,19.97,20.386,19.801
2005-03-31 00:00:00,20.05,19.95,20.2,19.752
2005-04-01 00:00:00,20.135,20.805,20.844,20.011
2005-04-04 00:00:00,20.805,20.62,21.119,20.47
2005-04-05 00:00:00,20.63,20.831,20.95,20.526
2005-04-06 00:00:00,20.843,21.65,21.744,20.843
2005-04-07 00:00:00,21.753,21.49,21.9,21.186
2005-04-08 00:00:00,21.499,21.75,21.9,21.221
2005-04-11 00:00:00,21.78,20.985,21.799,20.49
2005-04-12 00:00:00,20.993,20.82,21.03,20.495
2005-04-13 00:00:00,20.825,20.95,21.11,20.8
2005-04-14 00:00:00,20.875,20.53,20.899,20.35
2005-04-15 00:00:00,20.445,20.3,20.499,20.16
2005-04-18 00:00:00,20.125,19.87,20.2,19.861
2005-04-19 00:00:00,19.855,20.1,20.318,19.855
2005-04-20 00:00:00,20.25,20.02,20.479,19.95
2005-04-21 00:00:00,19.753,20.157,20.25,19.753
2005-04-22 00:00:00,20.245,20.35,20.6,20.202
2005-04-25 00:00:00,20.365,20.259,20.8,20.1
2005-04-26 00:00:00,20.27,19.97,20.37,19.951
2005-04-27 00:00:00,19.975,19.69,20.013,19.6
2005-04-28 00:00:00,19.735,19.7,19.95,19.53
2005-04-29 00:00:00,19.55,19.49,19.72,19.47
2005-05-03 00:00:00,19.558,19.579,19.799,19.45
2005-05-04 00:00:00,19.601,19.62,19.737,19.459
2005-05-05 00:00:00,19.71,19.73,19.992,19.66
2005-05-06 00:00:00,19.665,19.43,19.73,19.38
2005-05-11 00:00:00,20.315,19.215,20.315,19.17
2005-05-12 00:00:00,19.21,19.25,19.32,18.943
2005-05-13 00:00:00,19.151,19.27,19.373,19.071
2005-05-14 00:00:00,19.293,19.261,19.31,19.154
2005-05-16 00:00:00,19.283,18.685,19.347,18.681
2005-05-17 00:00:00,18.798,19.179,19.19,18.473
2005-05-18 00:00:00,19.196,19.23,19.295,19.011
2005-05-19 00:00:00,19.24,19.044,19.375,19.001
2005-05-20 00:00:00,19.035,19.1,19.165,18.952
2005-05-23 00:00:00,19.497,19.18,19.497,19.07
2005-05-24 00:00:00,19.206,19.719,19.745,19.12
2005-05-25 00:00:00,19.7,19.4,19.839,19.39
2005-05-26 00:00:00,20.205,19.52,20.205,19.35
2005-05-27 00:00:00,19.56,19.438,19.788,19.39
2005-05-30 00:00:00,19.269,19.37,19.52,19.215
2005-05-31 00:00:00,19.36,19.4,19.644,19.23
2005-06-01 00:00:00,19.4,19.195,19.408,19.012
2005-06-02 00:00:00,19.25,19.72,19.86,19.25
2005-06-03 00:00:00,19.702,19.977,20.038,19.65
2005-06-06 00:00:00,19.956,20.174,20.287,19.828
2005-06-07 00:00:00,20.174,20.169,20.296,19.876
2005-06-08 00:00:00,20.15,19.75,20.25,19.638
2005-06-09 00:00:00,19.8,19.93,20.017,19.75
2005-06-10 00:00:00,20.0,20.193,20.2,19.925
2005-06-14 00:00:00,20.273,20.6,20.61,20.273
2005-06-15 00:00:00,20.655,20.67,20.865,20.51
2005-06-16 00:00:00,20.7,20.73,20.89,20.651
2005-06-17 00:00:00,20.797,21.05,21.08,20.735
2005-06-20 00:00:00,21.15,21.132,21.17,21.02
2005-06-21 00:00:00,21.13,21.1,21.16,20.87
2005-06-22 00:00:00,20.798,21.576,21.59,20.798
2005-06-23 00:00:00,21.553,21.68,21.77,21.431
2005-06-24 00:00:00,21.675,21.663,21.81,21.501
2005-06-27 00:00:00,21.672,21.45,21.709,21.37
2005-06-28 00:00:00,21.645,21.18,21.645,21.031
2005-06-29 00:00:00,21.2,21.019,21.38,20.902
2005-06-30 00:00:00,21.05,21.345,21.589,20.953
2005-07-01 00:00:00,21.384,21.712,21.788,21.343
2005-07-04 00:00:00,21.744,21.98,22.14,21.744
2005-07-05 00:00:00,21.955,22.098,22.188,21.78
2005-07-06 00:00:00,22.055,22.75,22.77,22.055
2005-07-07 00:00:00,22.75,22.454,22.897,21.85
2005-07-08 00:00:00,22.59,22.7,22.97,22.49
2005-07-11 00:00:00,21.8,22.67,22.986,21.8
2005-07-12 00:00:00,22.69,22.475,22.701,22.3
2005-07-13 00:00:00,22.5,22.762,22.88,22.35
2005-07-14 00:00:00,22.524,22.46,22.867,22.36
2005-07-15 00:00:00,22.4,22.111,22.4,22.02
2005-07-18 00:00:00,22.109,21.952,22.285,21.85
2005-07-19 00:00:00,22.0,22.138,22.196,21.925
2005-07-20 00:00:00,22.139,22.676,22.75,22.138
2005-07-21 00:00:00,22.72,22.263,22.895,22.111
2005-07-22 00:00:00,22.263,22.503,22.79,22.181
2005-07-25 00:00:00,22.71,22.597,22.71,22.382
2005-07-26 00:00:00,22.626,22.33,22.67,22.32
2005-07-27 00:00:00,22.3,22.452,22.724,22.3
2005-07-28 00:00:00,22.522,23.1,23.14,22.522
2005-07-29 00:00:00,23.195,23.299,23.355,22.941
2005-08-01 00:00:00,23.549,23.23,23.549,22.9
2005-08-02 00:00:00,23.32,23.498,23.649,23.32
2005-08-03 00:00:00,23.611,23.029,23.665,22.816
2005-08-04 00:00:00,23.005,23.206,23.37,22.816
2005-08-05 00:00:00,23.245,23.27,23.3,23.02
2005-08-08 00:00:00,23.29,23.49,23.564,23.175
2005-08-09 00:00:00,23.56,24.04,24.169,23.355
2005-08-10 00:00:00,24.15,24.27,24.34,24.03
2005-08-11 00:00:00,24.36,23.777,24.48,23.7
2005-08-12 00:00:00,23.355,23.516,23.869,23.355
2005-08-15 00:00:00,23.605,23.631,23.72,23.349
2005-08-16 00:00:00,23.69,24.13,24.177,23.68
2005-08-17 00:00:00,24.1,24.32,24.46,23.82
2005-08-18 00:00:00,24.17,23.94,24.3,23.51
2005-08-19 00:00:00,23.877,24.4,24.435,23.781
2005-08-22 00:00:00,24.423,24.693,24.697,24.011
2005-08-23 00:00:00,24.611,24.483,24.79,24.406
2005-08-24 00:00:00,24.492,24.801,24.999,24.316
2005-08-25 00:00:00,24.805,25.2,25.22,24.555
2005-08-26 00:00:00,25.225,26.029,26.12,25.175
2005-08-29 00:00:00,26.1,26.5,26.545,25.856
2005-08-30 00:00:00,26.55,26.95,27.589,26.5
