begin,open,close,high,low
2005-01-11 00:00:00,21.11,21.699,21.868,20.6
2005-01-12 00:00:00,20.51,21.5,21.9,20.51
2005-01-13 00:00:00,21.23,20.725,21.29,20.5
2005-01-14 00:00:00,20.7,20.93,21.21,20.7
2005-01-17 00:00:00,21.198,21.51,22.0,21.198
2005-01-18 00:00:00,21.6,21.3,21.964,21.0
2005-01-19 00:00:00,21.35,21.685,21.887,21.3
2005-01-20 00:00:00,21.96,21.9,22.49,21.82
2005-01-21 00:00:00,21.9,21.95,22.0,21.57
2005-01-24 00:00:00,22.689,22.14,22.689,21.1
2005-01-25 00:00:00,22.333,22.596,22.6,22.17
2005-01-26 00:00:00,22.5,22.491,22.6,22.36
2005-01-27 00:00:00,22.5,22.78,22.788,22.27
2005-01-28 00:00:00,22.78,23.7,23.7,22.24
2005-01-31 00:00:00,23.65,24.0,24.679,23.5
2005-02-01 00:00:00,24.298,24.501,24.501,23.8
2005-02-02 00:00:00,24.5,24.85,24.99,24.32
2005-02-03 00:00:00,24.812,24.425,25.0,24.2
2005-02-04 00:00:00,24.15,24.399,24.449,24.05
2005-02-07 00:00:00,24.5,24.298,24.788,24.1
2005-02-08 00:00:00,23.57,24.599,24.599,23.57
2005-02-09 00:00:00,24.6,24.2,24.988,24.2
2005-02-10 00:00:00,24.13,24.238,24.28,23.5
2005-02-11 00:00:00,24.15,24.199,24.3,23.8
2005-02-14 00:00:00,24.0,23.705,24.05,23.705
2005-02-15 00:00:00,23.3,23.85,23.991,23.252
2005-02-16 00:00:00,23.99,24.299,24.4,23.95
2005-02-17 00:00:00,24.36,24.6,24.604,24.29
2005-02-18 00:00:00,24.71,24.84,24.95,24.45
2005-02-21 00:00:00,24.86,24.85,24.86,24.585
2005-02-22 00:00:00,24.85,24.65,25.0,24.65
2005-02-24 00:00:00,24.7,25.17,25.418,24.7
2005-02-25 00:00:00,25.57,25.5,25.83,25.0
2005-02-28 00:00:00,25.266,25.8,26.089,25.111
2005-03-01 00:00:00,25.7,25.275,25.7,24.52
2005-03-02 00:00:00,25.332,25.444,26.0,25.11
2005-03-03 00:00:00,25.333,25.49,25.606,24.751
2005-03-04 00:00:00,25.4,26.295,26.295,25.4
2005-03-05 00:00:00,26.295,26.3,26.5,26.06
2005-03-09 00:00:00,26.29,26.25,26.751,25.806
2005-03-10 00:00:00,26.2,25.65,26.35,25.401
2005-03-11 00:00:00,25.65,25.79,25.864,25.1
2005-03-14 00:00:00,25.377,24.995,25.86,24.73
2005-03-15 00:00:00,25.02,26.86,27.199,25.02
2005-03-16 00:00:00,27.099,26.315,27.3,26.212
2005-03-17 00:00:00,26.494,26.343,26.5,26.001
2005-03-18 00:00:00,26.899,27.088,27.2,26.461
2005-03-21 00:00:00,27.4,26.86,27.4,26.5
2005-03-22 00:00:00,26.848,26.69,26.99,26.21
2005-03-23 00:00:00,26.722,26.0,26.722,25.7
2005-03-24 00:00:00,25.999,26.58,26.8,25.999
2005-03-25 00:00:00,26.648,26.5,26.8,26.4
2005-03-28 00:00:00,26.78,26.6,26.78,26.353
2005-03-29 00:00:00,26.35,26.548,26.548,26.241
2005-03-30 00:00:00,26.543,26.0,26.599,25.6
2005-03-31 00:00:00,26.049,25.995,26.439,25.75
2005-04-01 00:00:00,26.069,26.099,26.24,25.85
2005-04-04 00:00:00,26.399,26.95,27.3,26.212
2005-04-05 00:00:00,26.95,27.2,27.3,26.872
2005-04-06 00:00:00,27.3,27.7,27.7,27.166
2005-04-07 00:00:00,27.7,27.44,27.95,27.003
2005-04-08 00:00:00,27.4,27.9,28.1,26.922
2005-04-11 00:00:00,28.079,27.29,28.079,26.582
2005-04-12 00:00:00,27.245,27.18,27.5,26.7
2005-04-13 00:00:00,27.201,27.1,27.55,27.076
2005-04-14 00:00:00,26.81,27.1,27.4,26.504
2005-04-15 00:00:00,26.999,26.731,26.999,26.501
2005-04-18 00:00:00,26.511,26.0,26.511,25.9
2005-04-19 00:00:00,25.93,26.03,26.16,25.93
2005-04-20 00:00:00,26.051,26.95,27.048,26.05
2005-04-21 00:00:00,26.46,27.35,27.4,26.46
2005-04-22 00:00:00,27.37,27.1,27.599,27.1
2005-04-25 00:00:00,27.17,27.01,27.5,26.85
2005-04-26 00:00:00,27.051,26.211,27.35,26.211
2005-04-27 00:00:00,26.28,26.49,26.529,25.902
2005-04-28 00:00:00,26.45,25.98,26.476,25.81
2005-04-29 00:00:00,25.75,25.501,25.75,25.01
2005-05-03 00:00:00,25.827,25.15,25.827,25.15
2005-05-04 00:00:00,25.3,25.149,25.357,25.0
2005-05-05 00:00:00,25.35,25.378,25.689,25.203
2005-05-06 00:00:00,25.499,25.246,25.499,24.506
2005-05-11 00:00:00,25.24,24.799,25.24,24.501
2005-05-12 00:00:00,24.362,24.879,25.11,24.0
