begin,open,close,high,low
2011-11-17 10:00:00,51.5,51.25,51.5,51.03
2011-11-17 11:00:00,51.29,51.29,51.52,51.2
2011-11-17 12:00:00,51.2,50.99,51.27,50.8
2011-11-17 13:00:00,50.9,50.85,51.0,50.84
2011-11-17 14:00:00,50.85,50.71,50.85,50.5
2011-11-17 15:00:00,50.52,50.7,50.92,50.5
2011-11-17 16:00:00,50.76,50.58,50.84,50.58
2011-11-17 17:00:00,50.58,51.17,51.27,50.58
2011-11-17 18:00:00,51.17,51.0,51.3,51.0
2011-11-18 10:00:00,50.35,50.22,50.88,50.1
2011-11-18 11:00:00,50.23,50.41,50.53,50.23
2011-11-18 12:00:00,50.4,50.5,50.54,50.31
2011-11-18 13:00:00,50.56,50.54,50.88,50.53
2011-11-18 14:00:00,50.69,50.42,50.71,50.41
2011-11-18 15:00:00,50.46,50.79,50.79,50.41
2011-11-18 16:00:00,50.69,50.78,50.99,50.69
2011-11-18 17:00:00,50.86,50.85,50.88,50.76
2011-11-18 18:00:00,50.84,50.74,50.9,50.74
2011-11-21 10:00:00,50.51,50.21,50.88,49.9
2011-11-21 11:00:00,50.07,50.01,50.19,50.0
2011-11-21 12:00:00,50.01,50.0,50.19,49.51
2011-11-21 13:00:00,50.05,50.07,50.2,49.99
2011-11-21 14:00:00,50.07,50.11,50.38,50.07
2011-11-21 15:00:00,50.1,50.07,50.12,50.07
2011-11-21 16:00:00,50.07,50.06,50.2,49.99
2011-11-21 17:00:00,50.01,50.0,50.07,49.76
2011-11-21 18:00:00,50.0,50.0,50.1,49.9
2011-11-22 10:00:00,50.18,50.11,50.38,49.9
2011-11-22 11:00:00,50.15,50.25,50.43,50.09
2011-11-22 12:00:00,50.25,50.38,50.98,50.18
2011-11-22 13:00:00,50.36,50.0,50.36,49.95
2011-11-22 14:00:00,50.0,50.05,50.1,49.95
2011-11-22 15:00:00,50.02,50.0,50.24,49.95
2011-11-22 16:00:00,50.0,49.93,50.07,49.89
2011-11-22 17:00:00,49.99,49.5,49.99,49.33
2011-11-22 18:00:00,49.5,49.9,49.98,49.15
2011-11-23 10:00:00,49.51,49.92,50.01,49.17
2011-11-23 11:00:00,49.87,49.86,50.0,49.8
2011-11-23 12:00:00,49.93,49.95,50.11,49.81
2011-11-23 13:00:00,50.0,49.95,50.0,49.86
2011-11-23 14:00:00,49.95,49.93,50.0,49.82
2011-11-23 15:00:00,49.99,49.81,50.0,49.81
2011-11-23 16:00:00,49.83,49.9,49.93,49.77
2011-11-23 17:00:00,49.8,49.99,50.1,49.5
2011-11-23 18:00:00,49.97,50.0,50.0,49.75
2011-11-24 10:00:00,49.96,49.99,50.33,49.96
