begin,open,close,high,low
2011-11-17 10:00:00,5075,5135,5200,5072
2011-11-17 11:00:00,5135,5085,5164,5071
2011-11-17 12:00:00,5085,5040,5110,5012
2011-11-17 13:00:00,5040,5041,5110,5030
2011-11-17 14:00:00,5041,5028,5047,4955
2011-11-17 15:00:00,5025,5040,5106,5012
2011-11-17 16:00:00,5039,5128,5131,4992
2011-11-17 17:00:00,5128,5209,5225,5072
2011-11-17 18:00:00,5208,5235,5278,5208
2011-11-18 10:00:00,5147,5129,5210,5060
2011-11-18 11:00:00,5132,5194,5218,5132
2011-11-18 12:00:00,5194,5170,5199,5155
2011-11-18 13:00:00,5170,5265,5286,5170
2011-11-18 14:00:00,5265,5260,5292,5223
2011-11-18 15:00:00,5261,5270,5310,5242
2011-11-18 16:00:00,5270,5352,5364,5252
2011-11-18 17:00:00,5351,5354,5385,5336
2011-11-18 18:00:00,5353,5296,5375,5295
2011-11-21 10:00:00,5277,5200,5289,5138
2011-11-21 11:00:00,5200,5143,5207,5103
2011-11-21 12:00:00,5143,5120,5167,5055
2011-11-21 13:00:00,5120,5127,5157,5100
2011-11-21 14:00:00,5128,5116,5138,5105
2011-11-21 15:00:00,5115,5109,5120,5092
2011-11-21 16:00:00,5108,5100,5144,5095
2011-11-21 17:00:00,5099,5104,5116,5075
2011-11-21 18:00:00,5103,5042,5121,5012
2011-11-22 10:00:00,5069,5096,5127,5031
2011-11-22 11:00:00,5097,5194,5197,5095
2011-11-22 12:00:00,5196,5173,5220,5156
2011-11-22 13:00:00,5173,5120,5175,5118
2011-11-22 14:00:00,5120,5190,5191,5112
2011-11-22 15:00:00,5190,5167,5209,5155
2011-11-22 16:00:00,5167,5154,5177,5140
2011-11-22 17:00:00,5154,5072,5155,5010
2011-11-22 18:00:00,5072,5132,5132,5049
2011-11-23 10:00:00,5054,5104,5128,5050
2011-11-23 11:00:00,5103,5131,5195,5103
2011-11-23 12:00:00,5132,5257,5284,5126
2011-11-23 13:00:00,5254,5235,5282,5201
2011-11-23 14:00:00,5233,5218,5249,5155
2011-11-23 15:00:00,5219,5232,5275,5207
2011-11-23 16:00:00,5234,5227,5258,5219
2011-11-23 17:00:00,5227,5235,5257,5215
2011-11-23 18:00:00,5235,5215,5262,5211
2011-11-24 10:00:00,5230,5251,5298,5203
2011-11-24 11:00:00,5254,5258,5289,5242
2011-11-24 12:00:00,5255,5211,5277,5205
2011-11-24 13:00:00,5210,5200,5244,5181
2011-11-24 14:00:00,5199,5164,5206,5150
2011-11-24 15:00:00,5164,5200,5215,5152
2011-11-24 16:00:00,5200,5177,5208,5161
2011-11-24 17:00:00,5175,5164,5189,5150
2011-11-24 18:00:00,5164,5151,5180,5151
2011-11-25 10:00:00,5130,5135,5143,5071
2011-11-25 11:00:00,5135,5140,5166,5125
2011-11-25 12:00:00,5140,5039,5157,5039
2011-11-25 13:00:00,5039,5056,5071,5013
2011-11-25 14:00:00,5055,5025,5062,5010
2011-11-25 15:00:00,5025,5056,5075,5010
2011-11-25 16:00:00,5059,5059,5081,5045
2011-11-25 17:00:00,5059,5075,5080,5044
2011-11-25 18:00:00,5075,5169,5170,5070
2011-11-28 10:00:00,5245,5225,5264,5201
2011-11-28 11:00:00,5225,5229,5246,5219
2011-11-28 12:00:00,5226,5310,5314,5214
2011-11-28 13:00:00,5309,5299,5329,5267
2011-11-28 14:00:00,5297,5297,5303,5277
2011-11-28 15:00:00,5297,5319,5323,5284
2011-11-28 16:00:00,5320,5333,5345,5295
2011-11-28 17:00:00,5333,5341,5369,5330
2011-11-28 18:00:00,5341,5352,5370,5340
2011-11-29 10:00:00,5387,5365,5419,5308
2011-11-29 11:00:00,5364,5320,5369,5320
2011-11-29 12:00:00,5320,5285,5358,5276
2011-11-29 13:00:00,5285,5310,5324,5281
2011-11-29 14:00:00,5310,5320,5351,5300
2011-11-29 15:00:00,5319,5338,5347,5309
2011-11-29 16:00:00,5338,5240,5343,5233
2011-11-29 17:00:00,5240,5207,5242,5189
2011-11-29 18:00:00,5205,5210,5236,5187
2011-11-30 10:00:00,5230,5191,5239,5174
2011-11-30 11:00:00,5191,5210,5237,5178
2011-11-30 12:00:00,5210,5257,5278,5201
2011-11-30 13:00:00,5257,5240,5275,5225
2011-11-30 14:00:00,5241,5227,5265,5225
2011-11-30 15:00:00,5227,5270,5304,5210
2011-11-30 16:00:00,5270,5265,5295,5252
2011-11-30 17:00:00,5265,5441,5467,5260
2011-11-30 18:00:00,5440,5431,5470,5415
2011-12-01 10:00:00,5474,5438,5489,5391
2011-12-01 11:00:00,5436,5457,5490,5424
2011-12-01 12:00:00,5457,5424,5465,5405
2011-12-01 13:00:00,5419,5429,5443,5400
2011-12-01 14:00:00,5430,5502,5516,5428
2011-12-01 15:00:00,5502,5517,5540,5472
2011-12-01 16:00:00,5516,5567,5572,5470
2011-12-01 17:00:00,5564,5483,5570,5455
2011-12-01 18:00:00,5483,5506,5515,5455
2011-12-02 10:00:00,5512,5510,5551,5497
2011-12-02 11:00:00,5507,5572,5583,5498
2011-12-02 12:00:00,5572,5540,5585,5531
2011-12-02 13:00:00,5539,5540,5560,5510
2011-12-02 14:00:00,5541,5555,5578,5530
2011-12-02 15:00:00,5553,5534,5556,5525
2011-12-02 16:00:00,5534,5530,5570,5521
2011-12-02 17:00:00,5533,5501,5558,5475
2011-12-02 18:00:00,5501,5415,5508,5407
2011-12-05 10:00:00,5452,5475,5477,5410
2011-12-05 11:00:00,5475,5469,5497,5445
2011-12-05 12:00:00,5469,5473,5494,5460
2011-12-05 13:00:00,5472,5467,5475,5430
2011-12-05 14:00:00,5464,5478,5495,5440
2011-12-05 15:00:00,5479,5466,5480,5462
2011-12-05 16:00:00,5465,5471,5483,5456
2011-12-05 17:00:00,5471,5501,5513,5467
2011-12-05 18:00:00,5501,5541,5569,5501
2011-12-06 10:00:00,5511,5510,5545,5485
2011-12-06 11:00:00,5508,5507,5528,5501
2011-12-06 12:00:00,5507,5538,5545,5495
2011-12-06 13:00:00,5538,5522,5544,5515
2011-12-06 14:00:00,5524,5587,5620,5513
2011-12-06 15:00:00,5586,5509,5604,5500
2011-12-06 16:00:00,5509,5434,5517,5431
2011-12-06 17:00:00,5435,5392,5439,5320
2011-12-06 18:00:00,5390,5340,5415,5328
2011-12-07 10:00:00,5400,5401,5435,5382
2011-12-07 11:00:00,5406,5354,5418,5288
2011-12-07 12:00:00,5355,5409,5416,5332
2011-12-07 13:00:00,5409,5381,5428,5351
2011-12-07 14:00:00,5380,5395,5450,5340
2011-12-07 15:00:00,5395,5408,5433,5361
2011-12-07 16:00:00,5408,5360,5422,5352
2011-12-07 17:00:00,5363,5354,5391,5313
2011-12-07 18:00:00,5350,5360,5379,5321
2011-12-08 10:00:00,5390,5395,5409,5350
2011-12-08 11:00:00,5397,5416,5425,5380
2011-12-08 12:00:00,5416,5447,5464,5391
2011-12-08 13:00:00,5448,5456,5475,5421
2011-12-08 14:00:00,5456,5442,5467,5440
2011-12-08 15:00:00,5442,5436,5460,5406
2011-12-08 16:00:00,5436,5460,5470,5412
2011-12-08 17:00:00,5460,5432,5490,5425
2011-12-08 18:00:00,5432,5342,5434,5323
2011-12-09 10:00:00,5266,5139,5270,5122
2011-12-09 11:00:00,5140,5051,5151,5033
2011-12-09 12:00:00,5053,5130,5156,5048
2011-12-09 13:00:00,5130,5114,5157,5096
2011-12-09 14:00:00,5118,5170,5170,5113
2011-12-09 15:00:00,5170,5186,5194,5160
2011-12-09 16:00:00,5186,5120,5189,5091
2011-12-09 17:00:00,5119,5060,5125,5040
2011-12-09 18:00:00,5061,5051,5114,5050
2011-12-12 10:00:00,5126,5169,5182,5108
2011-12-12 11:00:00,5169,5127,5177,5121
2011-12-12 12:00:00,5128,5157,5164,5105
2011-12-12 13:00:00,5157,5093,5165,5073
2011-12-12 14:00:00,5093,5062,5103,5035
2011-12-12 15:00:00,5062,5067,5088,5057
2011-12-12 16:00:00,5064,5073,5080,5057
2011-12-12 17:00:00,5075,4960,5085,4918
2011-12-12 18:00:00,4960,4750,4960,4749
2011-12-13 10:00:00,4747,4839,4858,4744
2011-12-13 11:00:00,4838,4838,4854,4783
2011-12-13 12:00:00,4837,4808,4888,4793
2011-12-13 13:00:00,4808,4797,4810,4680
2011-12-13 14:00:00,4800,4817,4843,4792
2011-12-13 15:00:00,4817,4868,4895,4811
2011-12-13 16:00:00,4868,4895,4924,4860
2011-12-13 17:00:00,4900,4962,4970,4890
2011-12-13 18:00:00,4962,4999,5009,4931
2011-12-14 10:00:00,4950,4958,4987,4912
2011-12-14 11:00:00,4957,4991,5017,4953
2011-12-14 12:00:00,4988,4996,5050,4933
2011-12-14 13:00:00,4994,4985,5003,4951
2011-12-14 14:00:00,4988,5003,5003,4967
2011-12-14 15:00:00,5002,5041,5086,4996
2011-12-14 16:00:00,5033,5084,5094,5022
2011-12-14 17:00:00,5080,5053,5124,5046
2011-12-14 18:00:00,5052,4976,5053,4950
2011-12-15 10:00:00,4909,4940,4979,4900
2011-12-15 11:00:00,4942,4967,4970,4940
2011-12-15 12:00:00,4967,4967,4998,4950
2011-12-15 13:00:00,4967,4920,4972,4906
2011-12-15 14:00:00,4918,4976,4980,4901
2011-12-15 15:00:00,4976,4917,4996,4904
2011-12-15 16:00:00,4917,4988,5002,4911
2011-12-15 17:00:00,4989,5017,5043,4983
2011-12-15 18:00:00,5022,5055,5080,5019
2011-12-16 10:00:00,5084,5089,5095,5061
2011-12-16 11:00:00,5089,5071,5117,5057
2011-12-16 12:00:00,5072,5044,5077,5015
2011-12-16 13:00:00,5042,5062,5068,5038
2011-12-16 14:00:00,5060,5041,5076,5040
2011-12-16 15:00:00,5040,4981,5044,4950
2011-12-16 16:00:00,4981,4990,5003,4969
2011-12-16 17:00:00,4993,4985,5009,4963
2011-12-16 18:00:00,4985,4990,5024,4922
2011-12-19 10:00:00,4920,4851,4937,4847
2011-12-19 11:00:00,4851,4865,4886,4818
2011-12-19 12:00:00,4862,4873,4896,4855
2011-12-19 13:00:00,4872,4916,4933,4859
2011-12-19 14:00:00,4917,4915,4925,4890
2011-12-19 15:00:00,4915,4919,4920,4903
2011-12-19 16:00:00,4919,4887,4922,4875
2011-12-19 17:00:00,4887,4918,4970,4880
2011-12-19 18:00:00,4918,4905,4932,4880
2011-12-20 10:00:00,4955,4913,4959,4900
2011-12-20 11:00:00,4911,4931,4931,4905
2011-12-20 12:00:00,4931,4920,4941,4903
2011-12-20 13:00:00,4920,4886,4924,4866
2011-12-20 14:00:00,4886,4905,4916,4880
2011-12-20 15:00:00,4909,4922,4949,4903
2011-12-20 16:00:00,4923,4920,4934,4913
2011-12-20 17:00:00,4920,4932,4940,4905
2011-12-20 18:00:00,4933,4926,4949,4918
2011-12-21 10:00:00,4970,4985,4994,4945
2011-12-21 11:00:00,4986,5043,5064,4983
2011-12-21 12:00:00,5040,4991,5047,4990
2011-12-21 13:00:00,4995,4990,5010,4975
2011-12-21 14:00:00,4988,4961,5017,4955
2011-12-21 15:00:00,4960,4934,4989,4930
2011-12-21 16:00:00,4931,4899,4948,4875
2011-12-21 17:00:00,4899,4876,4909,4820
2011-12-21 18:00:00,4876,4867,4923,4854
2011-12-22 10:00:00,4895,4868,4905,4841
2011-12-22 11:00:00,4869,4881,4903,4867
2011-12-22 12:00:00,4883,4835,4897,4825
2011-12-22 13:00:00,4835,4860,4867,4825
2011-12-22 14:00:00,4860,4820,4861,4801
2011-12-22 15:00:00,4820,4760,4820,4755
2011-12-22 16:00:00,4761,4779,4800,4755
2011-12-22 17:00:00,4779,4741,4785,4717
2011-12-22 18:00:00,4744,4775,4778,4724
2011-12-23 10:00:00,4800,4742,4811,4730
2011-12-23 11:00:00,4742,4738,4758,4718
2011-12-23 12:00:00,4738,4713,4790,4685
2011-12-23 13:00:00,4715,4697,4720,4689
2011-12-23 14:00:00,4697,4716,4722,4693
2011-12-23 15:00:00,4718,4727,4732,4696
2011-12-23 16:00:00,4727,4735,4760,4725
2011-12-23 17:00:00,4736,4710,4744,4695
2011-12-23 18:00:00,4712,4710,4723,4697
2011-12-26 10:00:00,4745,4746,4749,4724
2011-12-26 11:00:00,4746,4759,4771,4724
2011-12-26 12:00:00,4759,4760,4769,4754
2011-12-26 13:00:00,4761,4761,4765,4752
2011-12-26 14:00:00,4761,4766,4770,4755
2011-12-26 15:00:00,4765,4749,4768,4749
2011-12-26 16:00:00,4749,4744,4757,4731
2011-12-26 17:00:00,4742,4740,4750,4737
2011-12-26 18:00:00,4739,4758,4760,4738
2011-12-27 10:00:00,4768,4758,4780,4746
2011-12-27 11:00:00,4756,4743,4760,4738
2011-12-27 12:00:00,4742,4730,4750,4725
2011-12-27 13:00:00,4730,4740,4750,4717
2011-12-27 14:00:00,4740,4740,4742,4710
2011-12-27 15:00:00,4740,4740,4755,4738
2011-12-27 16:00:00,4740,4734,4743,4728
2011-12-27 17:00:00,4732,4730,4745,4723
2011-12-27 18:00:00,4730,4743,4749,4730
2011-12-28 10:00:00,4757,4757,4759,4735
2011-12-28 11:00:00,4758,4766,4780,4750
2011-12-28 12:00:00,4766,4773,4774,4745
2011-12-28 13:00:00,4770,4764,4771,4755
2011-12-28 14:00:00,4766,4763,4779,4758
2011-12-28 15:00:00,4765,4760,4768,4750
2011-12-28 16:00:00,4760,4788,4801,4755
2011-12-28 17:00:00,4787,4781,4789,4775
2011-12-28 18:00:00,4781,4782,4788,4755
2011-12-29 10:00:00,4771,4785,4797,4751
2011-12-29 11:00:00,4785,4762,4788,4761
2011-12-29 12:00:00,4762,4764,4771,4715
2011-12-29 13:00:00,4761,4755,4774,4741
2011-12-29 14:00:00,4758,4771,4778,4753
2011-12-29 15:00:00,4770,4794,4796,4766
2011-12-29 16:00:00,4791,4899,4906,4788
2011-12-29 17:00:00,4898,4908,4915,4890
2011-12-29 18:00:00,4912,4934,4935,4897
2011-12-30 10:00:00,4960,4948,4964,4931
2011-12-30 11:00:00,4950,4937,4965,4931
2011-12-30 12:00:00,4939,4923,4950,4911
2011-12-30 13:00:00,4923,4930,4938,4919
2011-12-30 14:00:00,4929,4969,4979,4920
2011-12-30 15:00:00,4970,4950,4972,4942
2011-12-30 16:00:00,4949,4961,4964,4941
2011-12-30 17:00:00,4959,4979,4979,4943
2011-12-30 18:00:00,4979,4929,4986,4922
2012-01-03 10:00:00,5000,5030,5045,4981
2012-01-03 11:00:00,5030,5029,5033,5020
2012-01-03 12:00:00,5028,5020,5034,4996
2012-01-03 13:00:00,5020,4985,5029,4971
2012-01-03 14:00:00,4985,4994,5008,4973
2012-01-03 15:00:00,4993,4988,5006,4980
2012-01-03 16:00:00,4986,4999,5006,4977
2012-01-03 17:00:00,4998,5008,5015,4995
2012-01-03 18:00:00,5008,5015,5035,5000
2012-01-04 10:00:00,5025,5013,5030,4985
2012-01-04 11:00:00,5013,5002,5013,4997
2012-01-04 12:00:00,5004,4969,5023,4952
2012-01-04 13:00:00,4966,4982,5000,4959
2012-01-04 14:00:00,4982,4988,4997,4973
2012-01-04 15:00:00,4988,4971,4999,4965
2012-01-04 16:00:00,4971,4983,4989,4968
2012-01-04 17:00:00,4980,4999,5020,4965
2012-01-04 18:00:00,4999,5001,5012,4985
2012-01-05 10:00:00,5001,4998,5017,4990
2012-01-05 11:00:00,4998,5000,5002,4985
2012-01-05 12:00:00,5002,4947,5002,4928
2012-01-05 13:00:00,4946,4905,4952,4901
2012-01-05 14:00:00,4905,4900,4908,4876
2012-01-05 15:00:00,4900,4894,4910,4877
2012-01-05 16:00:00,4893,4890,4899,4882
2012-01-05 17:00:00,4888,4920,4920,4883
2012-01-05 18:00:00,4920,4856,4932,4850
2012-01-06 10:00:00,4867,4841,4890,4832
2012-01-06 11:00:00,4841,4861,4862,4836
2012-01-06 12:00:00,4862,4900,4908,4861
2012-01-06 13:00:00,4903,4894,4916,4886
2012-01-06 14:00:00,4890,4890,4919,4882
2012-01-06 15:00:00,4890,4886,4893,4855
2012-01-06 16:00:00,4887,4883,4901,4882
2012-01-06 17:00:00,4883,4886,4911,4881
2012-01-06 18:00:00,4885,4852,4897,4850
2012-01-09 10:00:00,4852,4842,4868,4834
2012-01-09 11:00:00,4842,4849,4852,4834
2012-01-09 12:00:00,4849,4860,4875,4841
2012-01-09 13:00:00,4861,4870,4885,4853
2012-01-09 14:00:00,4871,4876,4877,4860
2012-01-09 15:00:00,4876,4872,4879,4863
2012-01-09 16:00:00,4871,4875,4877,4855
2012-01-09 17:00:00,4876,4885,4885,4868
2012-01-09 18:00:00,4885,4929,4945,4885
2012-01-10 10:00:00,4956,4974,4985,4945
2012-01-10 11:00:00,4974,4965,4985,4959
2012-01-10 12:00:00,4965,5018,5022,4959
2012-01-10 13:00:00,5019,5128,5150,5019
2012-01-10 14:00:00,5128,5128,5155,5125
2012-01-10 15:00:00,5127,5125,5144,5125
2012-01-10 16:00:00,5125,5181,5188,5115
2012-01-10 17:00:00,5184,5161,5191,5150
2012-01-10 18:00:00,5162,5219,5227,5150
2012-01-11 10:00:00,5191,5204,5225,5162
2012-01-11 11:00:00,5204,5248,5266,5200
2012-01-11 12:00:00,5247,5255,5270,5232
2012-01-11 13:00:00,5253,5301,5305,5240
2012-01-11 14:00:00,5304,5301,5319,5281
2012-01-11 15:00:00,5302,5260,5307,5226
2012-01-11 16:00:00,5258,5285,5304,5200
2012-01-11 17:00:00,5285,5265,5290,5235
2012-01-11 18:00:00,5266,5240,5289,5240
2012-01-12 10:00:00,5270,5265,5292,5251
2012-01-12 11:00:00,5263,5218,5275,5200
2012-01-12 12:00:00,5217,5271,5278,5215
2012-01-12 13:00:00,5271,5338,5371,5240
2012-01-12 14:00:00,5341,5396,5417,5340
2012-01-12 15:00:00,5397,5395,5404,5364
2012-01-12 16:00:00,5395,5362,5410,5356
2012-01-12 17:00:00,5362,5374,5385,5338
2012-01-12 18:00:00,5374,5350,5397,5350
2012-01-13 10:00:00,5380,5374,5390,5353
2012-01-13 11:00:00,5373,5387,5400,5366
2012-01-13 12:00:00,5387,5370,5390,5360
2012-01-13 13:00:00,5368,5385,5385,5353
2012-01-13 14:00:00,5385,5377,5393,5366
2012-01-13 15:00:00,5374,5416,5432,5370
2012-01-13 16:00:00,5418,5415,5435,5400
2012-01-13 17:00:00,5416,5380,5430,5376
2012-01-13 18:00:00,5379,5340,5394,5315
2012-01-16 10:00:00,5291,5276,5326,5230
2012-01-16 11:00:00,5276,5291,5319,5257
2012-01-16 12:00:00,5291,5354,5364,5284
2012-01-16 13:00:00,5356,5318,5371,5310
2012-01-16 14:00:00,5321,5328,5335,5300
2012-01-16 15:00:00,5328,5328,5341,5323
2012-01-16 16:00:00,5329,5335,5342,5315
2012-01-16 17:00:00,5335,5334,5346,5328
2012-01-16 18:00:00,5334,5341,5350,5330
2012-01-17 10:00:00,5387,5458,5466,5383
2012-01-17 11:00:00,5458,5485,5489,5451
2012-01-17 12:00:00,5488,5468,5489,5450
2012-01-17 13:00:00,5470,5477,5480,5455
2012-01-17 14:00:00,5475,5461,5484,5459
2012-01-17 15:00:00,5462,5465,5474,5455
2012-01-17 16:00:00,5465,5457,5478,5442
2012-01-17 17:00:00,5457,5465,5474,5452
2012-01-17 18:00:00,5465,5477,5480,5457
2012-01-18 10:00:00,5480,5436,5480,5426
2012-01-18 11:00:00,5439,5460,5470,5410
2012-01-18 12:00:00,5459,5460,5467,5420
2012-01-18 13:00:00,5462,5466,5487,5444
2012-01-18 14:00:00,5470,5445,5478,5445
2012-01-18 15:00:00,5446,5448,5450,5429
2012-01-18 16:00:00,5446,5447,5454,5425
2012-01-18 17:00:00,5447,5448,5458,5438
2012-01-18 18:00:00,5446,5471,5480,5446
2012-01-19 10:00:00,5500,5494,5516,5477
2012-01-19 11:00:00,5495,5490,5505,5482
2012-01-19 12:00:00,5490,5497,5498,5465
2012-01-19 13:00:00,5497,5480,5506,5478
2012-01-19 14:00:00,5479,5505,5509,5474
2012-01-19 15:00:00,5507,5514,5520,5501
2012-01-19 16:00:00,5513,5508,5521,5500
2012-01-19 17:00:00,5505,5480,5512,5480
2012-01-19 18:00:00,5485,5474,5493,5452
2012-01-20 10:00:00,5496,5481,5500,5466
2012-01-20 11:00:00,5481,5476,5484,5470
2012-01-20 12:00:00,5473,5455,5498,5440
2012-01-20 13:00:00,5456,5472,5484,5448
2012-01-20 14:00:00,5470,5478,5492,5465
2012-01-20 15:00:00,5477,5483,5488,5468
2012-01-20 16:00:00,5481,5479,5493,5474
2012-01-20 17:00:00,5479,5459,5486,5455
2012-01-20 18:00:00,5459,5451,5475,5448
2012-01-23 10:00:00,5451,5464,5496,5440
