begin,open,close,high,low
2011-11-17 10:00:00,1.9861,2.001,2.0095,1.986
2011-11-17 11:00:00,2.005,1.9801,2.0202,1.98
2011-11-17 12:00:00,1.9889,1.9952,2.0001,1.9842
2011-11-17 13:00:00,1.9968,2.0001,2.0286,1.995
2011-11-17 14:00:00,2.0002,1.9955,2.0045,1.9865
2011-11-17 15:00:00,2.0,1.99,2.0006,1.9842
2011-11-17 16:00:00,1.9843,1.9862,1.9914,1.975
2011-11-17 17:00:00,1.9826,2.0093,2.0093,1.982
2011-11-17 18:00:00,2.0072,2.0,2.02,2.0
2011-11-18 10:00:00,1.9849,1.9738,1.9911,1.94
2011-11-18 11:00:00,1.9749,1.97,1.9841,1.9677
2011-11-18 12:00:00,1.9742,1.9702,1.977,1.9669
2011-11-18 13:00:00,1.974,1.977,1.9815,1.9731
2011-11-18 14:00:00,1.977,1.985,1.9859,1.977
2011-11-18 15:00:00,1.9829,1.9867,1.9867,1.9798
2011-11-18 16:00:00,1.9829,2.013,2.0188,1.979
2011-11-18 17:00:00,2.013,1.9962,2.0175,1.9962
2011-11-18 18:00:00,2.0056,1.9976,2.01,1.9976
2011-11-21 10:00:00,2.0,1.974,2.0222,1.964
2011-11-21 11:00:00,1.971,1.9506,1.971,1.9492
2011-11-21 12:00:00,1.956,1.9257,1.96,1.9162
2011-11-21 13:00:00,1.9247,1.94,1.94,1.9121
2011-11-21 14:00:00,1.9401,1.9399,1.9401,1.93
2011-11-21 15:00:00,1.9398,1.93,1.94,1.925
2011-11-21 16:00:00,1.9225,1.9201,1.9248,1.92
2011-11-21 17:00:00,1.92,1.9357,1.9357,1.915
2011-11-21 18:00:00,1.9344,1.9,1.9344,1.9
2011-11-22 10:00:00,1.918,1.925,1.9299,1.91
2011-11-22 11:00:00,1.9249,1.9265,1.9265,1.919
2011-11-22 12:00:00,1.93,1.9301,1.9598,1.93
2011-11-22 13:00:00,1.9301,1.93,1.9421,1.9282
2011-11-22 14:00:00,1.93,1.9252,1.9353,1.92
2011-11-22 15:00:00,1.922,1.922,1.922,1.92
2011-11-22 16:00:00,1.922,1.921,1.932,1.921
2011-11-22 17:00:00,1.9205,1.9049,1.921,1.9007
2011-11-22 18:00:00,1.9054,1.91,1.9261,1.9
2011-11-23 10:00:00,1.9,1.9046,1.908,1.8921
2011-11-23 11:00:00,1.9043,1.909,1.909,1.9043
2011-11-23 12:00:00,1.9087,1.915,1.9197,1.9023
2011-11-23 13:00:00,1.915,1.92,1.93,1.9103
2011-11-23 14:00:00,1.9297,1.9335,1.9335,1.9105
2011-11-23 15:00:00,1.9335,1.9307,1.94,1.9277
2011-11-23 16:00:00,1.9301,1.915,1.931,1.9125
2011-11-23 17:00:00,1.9278,1.9203,1.931,1.9198
2011-11-23 18:00:00,1.9204,1.9218,1.9367,1.9128
2011-11-24 10:00:00,1.9189,1.9202,1.93,1.9189
2011-11-24 11:00:00,1.9238,1.9282,1.93,1.9238
