begin,open,close,high,low
2011-11-17 10:00:00,154.99,155.6,156.37,154.02
2011-11-17 11:00:00,155.82,155.0,156.46,154.7
2011-11-17 12:00:00,155.0,153.8,155.5,153.24
2011-11-17 13:00:00,153.8,153.71,154.76,153.25
2011-11-17 14:00:00,153.7,152.69,153.85,152.2
2011-11-17 15:00:00,152.75,152.63,153.2,152.2
2011-11-17 16:00:00,152.52,153.13,153.37,152.0
2011-11-17 17:00:00,153.22,154.01,154.19,152.3
2011-11-17 18:00:00,154.15,152.81,155.0,152.52
2011-11-18 10:00:00,152.5,152.05,153.77,151.91
2011-11-18 11:00:00,152.15,152.18,152.77,152.05
2011-11-18 12:00:00,152.28,152.75,152.75,152.05
2011-11-18 13:00:00,152.75,153.63,154.35,152.55
2011-11-18 14:00:00,153.75,153.08,153.94,152.54
2011-11-18 15:00:00,153.02,153.45,153.5,152.72
2011-11-18 16:00:00,153.48,154.3,154.75,153.48
2011-11-18 17:00:00,154.38,154.65,154.7,153.56
2011-11-18 18:00:00,154.59,154.6,154.9,154.03
2011-11-21 10:00:00,153.97,153.01,153.97,152.02
2011-11-21 11:00:00,153.01,152.43,153.1,152.05
2011-11-21 12:00:00,152.42,152.51,152.8,152.2
2011-11-21 13:00:00,152.5,152.64,153.29,152.5
2011-11-21 14:00:00,152.7,152.61,153.24,152.6
2011-11-21 15:00:00,152.6,152.8,153.1,152.6
2011-11-21 16:00:00,152.8,152.79,153.2,152.7
2011-11-21 17:00:00,152.97,152.91,153.3,152.64
2011-11-21 18:00:00,152.91,152.75,153.2,152.75
2011-11-22 10:00:00,152.23,154.27,154.79,152.22
2011-11-22 11:00:00,154.28,154.4,155.0,154.13
2011-11-22 12:00:00,154.4,154.1,154.67,153.5
2011-11-22 13:00:00,154.05,153.4,154.16,153.3
2011-11-22 14:00:00,153.4,154.6,154.8,153.35
2011-11-22 15:00:00,154.6,154.77,155.0,154.6
2011-11-22 16:00:00,154.78,154.85,154.99,154.7
2011-11-22 17:00:00,154.85,154.19,154.85,153.35
2011-11-22 18:00:00,153.89,154.71,154.8,153.45
2011-11-23 10:00:00,153.5,154.22,154.7,152.81
2011-11-23 11:00:00,154.22,153.54,154.85,153.52
2011-11-23 12:00:00,153.52,154.8,155.49,153.06
2011-11-23 13:00:00,154.8,155.44,156.0,154.57
2011-11-23 14:00:00,155.64,154.8,155.7,154.07
2011-11-23 15:00:00,154.8,154.24,155.59,154.15
2011-11-23 16:00:00,154.24,153.7,154.63,153.57
2011-11-23 17:00:00,153.7,153.72,154.5,153.35
2011-11-23 18:00:00,153.8,153.35,154.19,153.35
2011-11-24 10:00:00,153.39,154.15,154.74,152.05
2011-11-24 11:00:00,154.17,154.53,154.91,154.17
2011-11-24 12:00:00,154.53,154.41,154.96,154.4
2011-11-24 13:00:00,154.41,154.47,155.2,154.4
2011-11-24 14:00:00,154.45,153.51,154.62,153.5
