begin,open,close,high,low
2011-11-17 10:00:00,97.61,97.92,97.92,97.21
2011-11-17 11:00:00,97.94,97.46,97.95,97.43
2011-11-17 12:00:00,97.43,97.1,97.49,96.86
2011-11-17 13:00:00,97.15,97.1,97.62,96.67
2011-11-17 14:00:00,97.18,96.91,97.19,96.89
2011-11-17 15:00:00,96.91,96.69,96.95,96.54
2011-11-17 16:00:00,96.69,96.88,96.89,96.35
2011-11-17 17:00:00,96.89,97.22,97.3,96.65
2011-11-17 18:00:00,97.27,97.18,97.27,96.85
2011-11-18 10:00:00,96.3,95.9,96.99,95.56
2011-11-18 11:00:00,95.9,95.8,95.99,95.05
2011-11-18 12:00:00,95.79,95.79,95.79,95.69
2011-11-18 13:00:00,95.76,96.19,96.32,95.76
2011-11-18 14:00:00,96.29,96.0,96.35,95.9
2011-11-18 15:00:00,95.9,95.8,96.03,95.52
2011-11-18 16:00:00,96.05,96.5,97.0,96.0
2011-11-18 17:00:00,96.6,96.4,96.97,96.21
2011-11-18 18:00:00,96.25,96.0,96.25,95.71
2011-11-21 10:00:00,96.06,96.31,96.31,95.08
2011-11-21 11:00:00,95.83,95.39,95.83,95.39
2011-11-21 12:00:00,95.4,95.33,95.61,94.62
2011-11-21 13:00:00,94.96,96.3,96.49,94.96
2011-11-21 14:00:00,96.31,96.5,96.75,95.94
2011-11-21 15:00:00,96.55,96.09,96.55,95.8
2011-11-21 16:00:00,95.92,96.58,96.91,95.91
2011-11-21 17:00:00,96.59,96.9,96.92,96.58
2011-11-21 18:00:00,96.77,96.97,96.97,96.5
2011-11-22 10:00:00,96.05,97.5,97.98,96.05
2011-11-22 11:00:00,97.85,97.99,98.0,97.55
2011-11-22 12:00:00,97.98,97.8,98.0,97.72
2011-11-22 13:00:00,97.94,97.8,98.0,97.71
2011-11-22 14:00:00,97.9,98.0,98.0,97.9
2011-11-22 15:00:00,97.95,97.85,98.0,97.83
2011-11-22 16:00:00,97.85,97.96,97.99,97.84
2011-11-22 17:00:00,97.88,97.55,98.35,97.55
2011-11-22 18:00:00,97.59,98.0,98.0,97.42
2011-11-23 10:00:00,97.44,97.3,97.95,97.3
2011-11-23 11:00:00,97.4,96.8,97.4,96.79
2011-11-23 12:00:00,96.8,97.94,98.0,96.52
2011-11-23 13:00:00,97.99,99.29,99.29,97.98
2011-11-23 14:00:00,99.29,98.87,99.29,98.81
2011-11-23 15:00:00,98.82,99.1,99.27,98.81
2011-11-23 16:00:00,99.06,99.01,99.2,98.9
2011-11-23 17:00:00,99.0,98.5,99.0,98.35
2011-11-23 18:00:00,98.51,98.65,98.88,98.43
2011-11-24 10:00:00,98.62,98.84,98.99,98.07
2011-11-24 11:00:00,98.8,98.72,98.98,98.4
2011-11-24 12:00:00,98.61,98.26,98.71,98.26
2011-11-24 13:00:00,98.46,98.35,98.57,98.28
2011-11-24 14:00:00,98.36,98.46,98.46,98.27
2011-11-24 15:00:00,98.34,98.55,98.55,98.32
2011-11-24 16:00:00,98.43,98.5,98.5,98.35
2011-11-24 17:00:00,98.53,98.28,98.68,98.28
2011-11-24 18:00:00,98.26,98.7,98.7,97.7
2011-11-25 10:00:00,98.59,98.54,99.14,98.11
2011-11-25 11:00:00,98.84,98.47,99.28,98.02
2011-11-25 12:00:00,98.5,98.03,98.68,98.02
2011-11-25 13:00:00,98.03,98.16,99.0,97.5
2011-11-25 14:00:00,98.5,98.29,98.5,98.03
2011-11-25 15:00:00,98.29,99.11,99.25,97.99
2011-11-25 16:00:00,99.23,99.31,99.41,98.57
2011-11-25 17:00:00,99.4,99.31,99.43,99.2
2011-11-25 18:00:00,99.41,100.2,100.2,99.25
2011-11-28 10:00:00,100.0,101.12,101.25,100.0
2011-11-28 11:00:00,101.11,101.19,101.25,100.97
2011-11-28 12:00:00,101.1,101.4,101.44,100.9
2011-11-28 13:00:00,101.4,101.51,101.73,101.4
2011-11-28 14:00:00,101.48,101.73,101.75,101.48
2011-11-28 15:00:00,101.55,101.5,101.55,101.45
2011-11-28 16:00:00,101.51,101.5,101.69,101.27
2011-11-28 17:00:00,101.57,101.61,101.81,101.57
2011-11-28 18:00:00,101.61,100.44,101.61,99.9
2011-11-29 10:00:00,100.88,100.14,100.88,99.35
2011-11-29 11:00:00,100.11,100.0,100.11,99.82
2011-11-29 12:00:00,100.07,99.75,100.7,99.75
2011-11-29 13:00:00,99.76,100.25,100.44,99.52
2011-11-29 14:00:00,99.8,99.85,99.99,99.7
2011-11-29 15:00:00,99.71,100.09,100.09,99.68
2011-11-29 16:00:00,100.01,99.84,100.07,99.57
2011-11-29 17:00:00,99.8,99.41,99.93,99.15
2011-11-29 18:00:00,99.41,100.1,100.15,99.41
2011-11-30 10:00:00,99.89,100.23,100.48,99.53
2011-11-30 11:00:00,99.92,99.48,100.15,99.34
2011-11-30 12:00:00,99.39,99.32,99.76,99.05
2011-11-30 13:00:00,99.45,99.29,99.77,99.0
2011-11-30 14:00:00,99.04,99.03,99.19,98.45
2011-11-30 15:00:00,99.02,99.36,99.5,99.0
2011-11-30 16:00:00,99.36,99.27,99.5,99.26
2011-11-30 17:00:00,99.35,100.3,100.49,99.3
2011-11-30 18:00:00,100.37,100.4,100.4,99.91
2011-12-01 10:00:00,101.39,100.0,101.39,99.99
2011-12-01 11:00:00,99.99,99.19,100.0,98.41
2011-12-01 12:00:00,99.16,98.8,99.2,98.41
2011-12-01 13:00:00,98.74,99.37,99.37,98.71
2011-12-01 14:00:00,99.48,99.65,99.76,99.48
2011-12-01 15:00:00,99.65,99.8,99.85,99.65
2011-12-01 16:00:00,99.71,99.89,99.99,99.7
2011-12-01 17:00:00,99.81,99.19,99.99,98.91
2011-12-01 18:00:00,99.29,99.0,99.36,98.9
2011-12-02 10:00:00,99.1,99.21,99.87,99.0
2011-12-02 11:00:00,99.21,99.44,99.5,99.2
2011-12-02 12:00:00,99.48,99.75,99.89,99.45
2011-12-02 13:00:00,99.88,99.5,99.89,99.5
2011-12-02 14:00:00,99.67,99.81,99.88,99.55
2011-12-02 15:00:00,99.81,99.7,99.81,99.6
2011-12-02 16:00:00,99.7,99.6,99.7,99.35
2011-12-02 17:00:00,99.65,99.89,99.9,99.61
2011-12-02 18:00:00,99.81,99.8,99.89,99.5
2011-12-05 10:00:00,100.29,99.86,100.45,99.33
2011-12-05 11:00:00,99.9,99.57,100.28,99.2
2011-12-05 12:00:00,99.58,99.7,99.7,99.58
2011-12-05 13:00:00,99.74,100.0,100.0,99.62
2011-12-05 14:00:00,100.0,100.69,100.69,99.99
2011-12-05 15:00:00,100.55,100.48,100.7,100.32
2011-12-05 16:00:00,100.48,100.6,100.6,100.32
2011-12-05 17:00:00,100.55,100.6,100.6,100.25
2011-12-05 18:00:00,100.6,100.57,100.6,100.0
2011-12-06 10:00:00,99.64,99.92,99.92,99.11
2011-12-06 11:00:00,99.81,99.5,99.86,99.27
2011-12-06 12:00:00,99.31,99.95,100.5,99.12
2011-12-06 13:00:00,99.95,99.79,99.99,99.66
2011-12-06 14:00:00,99.73,99.95,99.95,99.63
2011-12-06 15:00:00,99.95,99.5,99.95,99.24
2011-12-06 16:00:00,99.45,99.03,99.57,98.7
2011-12-06 17:00:00,99.0,99.03,99.5,98.5
2011-12-06 18:00:00,98.95,99.9,99.9,98.5
2011-12-07 10:00:00,99.89,100.01,100.78,99.89
2011-12-07 11:00:00,100.11,99.67,100.39,99.5
2011-12-07 12:00:00,99.39,99.84,100.39,98.95
2011-12-07 13:00:00,99.87,100.51,101.0,99.84
2011-12-07 14:00:00,100.4,100.68,101.4,100.0
2011-12-07 15:00:00,100.46,100.5,100.96,100.0
2011-12-07 16:00:00,100.23,99.48,100.28,99.39
2011-12-07 17:00:00,99.48,100.28,100.3,99.29
2011-12-07 18:00:00,100.28,101.3,101.3,99.9
2011-12-08 10:00:00,101.97,101.41,102.12,101.31
2011-12-08 11:00:00,101.52,101.4,101.73,101.35
2011-12-08 12:00:00,101.47,99.9,101.53,99.9
2011-12-08 13:00:00,99.9,99.95,100.11,99.7
2011-12-08 14:00:00,99.95,99.99,100.24,99.9
2011-12-08 15:00:00,99.99,99.95,100.0,99.8
2011-12-08 16:00:00,100.0,100.0,100.15,99.98
2011-12-08 17:00:00,100.0,99.82,100.4,99.81
2011-12-08 18:00:00,99.89,98.26,99.89,98.26
2011-12-09 10:00:00,97.77,97.85,99.47,97.01
2011-12-09 11:00:00,97.89,97.7,98.2,97.31
2011-12-09 12:00:00,97.75,98.44,98.44,97.57
2011-12-09 13:00:00,98.33,98.0,98.33,97.64
2011-12-09 14:00:00,98.09,98.24,98.44,97.79
2011-12-09 15:00:00,98.39,99.77,100.21,98.39
2011-12-09 16:00:00,99.8,99.47,99.94,99.33
2011-12-09 17:00:00,99.41,99.3,99.41,99.21
2011-12-09 18:00:00,99.4,99.99,99.99,99.17
2011-12-12 10:00:00,99.98,99.77,100.2,99.51
2011-12-12 11:00:00,99.78,99.66,99.8,99.52
2011-12-12 12:00:00,99.65,99.8,99.8,99.58
2011-12-12 13:00:00,99.8,99.85,99.85,99.7
2011-12-12 14:00:00,99.9,99.75,99.93,99.7
2011-12-12 15:00:00,99.75,99.9,99.96,99.75
2011-12-12 16:00:00,99.95,99.96,99.96,99.84
2011-12-12 17:00:00,99.97,99.7,100.07,99.69
2011-12-12 18:00:00,99.7,99.85,100.12,99.7
2011-12-13 10:00:00,99.89,100.45,100.46,99.69
2011-12-13 11:00:00,100.47,100.69,100.98,100.2
2011-12-13 12:00:00,100.69,101.0,101.2,100.61
2011-12-13 13:00:00,100.76,100.65,100.86,100.22
2011-12-13 14:00:00,100.69,100.57,100.7,100.36
2011-12-13 15:00:00,100.59,100.91,101.0,100.35
2011-12-13 16:00:00,100.95,101.41,101.45,100.95
2011-12-13 17:00:00,101.22,100.85,101.44,99.73
2011-12-13 18:00:00,100.8,101.0,101.0,100.62
2011-12-14 10:00:00,100.51,101.2,101.49,100.34
2011-12-14 11:00:00,101.2,101.21,101.23,101.09
2011-12-14 12:00:00,101.11,101.4,101.5,101.09
2011-12-14 13:00:00,101.4,101.01,101.5,101.0
2011-12-14 14:00:00,101.0,100.94,101.21,100.87
2011-12-14 15:00:00,101.04,101.03,101.05,100.9
2011-12-14 16:00:00,101.02,101.05,101.05,100.88
2011-12-14 17:00:00,101.05,100.7,101.05,100.17
2011-12-14 18:00:00,100.68,100.79,100.79,100.21
2011-12-15 10:00:00,99.5,99.99,100.5,98.52
2011-12-15 11:00:00,100.0,100.52,100.8,99.81
2011-12-15 12:00:00,100.53,100.29,100.77,100.29
2011-12-15 13:00:00,100.2,100.22,100.76,100.01
2011-12-15 14:00:00,100.39,100.49,100.77,100.32
2011-12-15 15:00:00,100.68,100.24,100.7,100.24
2011-12-15 16:00:00,100.25,100.7,100.98,100.25
2011-12-15 17:00:00,100.7,100.65,100.7,100.36
2011-12-15 18:00:00,100.66,100.05,100.68,100.05
2011-12-16 10:00:00,100.5,100.64,100.81,100.27
2011-12-16 11:00:00,100.65,100.5,100.68,100.5
2011-12-16 12:00:00,100.5,100.76,100.8,100.4
2011-12-16 13:00:00,100.76,100.6,100.78,100.6
2011-12-16 14:00:00,100.6,100.6,100.79,100.54
2011-12-16 15:00:00,100.42,100.64,100.79,100.05
2011-12-16 16:00:00,100.7,100.41,101.0,100.41
2011-12-16 17:00:00,100.5,100.59,100.59,100.15
2011-12-16 18:00:00,100.58,100.9,100.9,100.51
2011-12-19 10:00:00,101.29,100.69,102.2,100.55
2011-12-19 11:00:00,100.85,100.62,100.92,100.62
2011-12-19 12:00:00,100.61,100.92,100.92,100.6
2011-12-19 13:00:00,100.92,100.89,100.93,100.77
2011-12-19 14:00:00,100.77,100.77,100.89,100.72
2011-12-19 15:00:00,100.84,100.83,100.84,100.8
2011-12-19 16:00:00,100.84,100.7,100.85,100.7
2011-12-19 17:00:00,100.8,100.75,100.8,100.62
2011-12-19 18:00:00,100.67,100.65,100.79,100.65
2011-12-20 10:00:00,100.5,100.0,100.89,99.95
2011-12-20 11:00:00,100.19,99.83,100.19,99.7
2011-12-20 12:00:00,100.0,99.85,100.0,99.66
2011-12-20 13:00:00,99.89,99.7,99.9,99.67
2011-12-20 14:00:00,99.7,99.76,99.9,99.5
2011-12-20 15:00:00,99.81,99.84,99.95,99.81
2011-12-20 16:00:00,99.84,99.85,99.95,99.84
2011-12-20 17:00:00,99.94,99.89,99.95,99.67
2011-12-20 18:00:00,99.79,99.89,99.89,99.7
2011-12-21 10:00:00,99.89,99.88,100.1,99.75
2011-12-21 11:00:00,99.87,99.99,99.99,99.86
2011-12-21 12:00:00,99.99,99.9,100.05,99.78
2011-12-21 13:00:00,99.91,99.89,99.92,99.75
2011-12-21 14:00:00,99.8,99.86,99.9,99.66
2011-12-21 15:00:00,99.86,99.83,99.87,99.66
2011-12-21 16:00:00,99.83,99.55,99.87,99.54
2011-12-21 17:00:00,99.57,99.65,99.74,98.79
2011-12-21 18:00:00,99.76,99.69,99.79,99.48
2011-12-22 10:00:00,99.7,99.41,99.7,99.27
2011-12-22 11:00:00,99.4,99.69,99.69,99.4
2011-12-22 12:00:00,99.68,99.65,99.68,99.47
2011-12-22 13:00:00,99.51,98.9,99.51,98.61
2011-12-22 14:00:00,98.87,98.6,99.17,98.0
2011-12-22 15:00:00,98.69,98.48,98.86,98.09
2011-12-22 16:00:00,98.32,98.65,98.92,98.29
2011-12-22 17:00:00,98.6,98.49,98.87,98.36
2011-12-22 18:00:00,98.46,98.31,99.0,98.31
2011-12-23 10:00:00,98.27,98.5,101.8,98.01
2011-12-23 11:00:00,98.6,99.5,99.96,98.31
2011-12-23 12:00:00,99.7,99.7,99.88,99.03
2011-12-23 13:00:00,99.7,99.58,99.81,99.4
2011-12-23 14:00:00,99.51,99.3,99.58,99.25
2011-12-23 15:00:00,99.25,99.45,99.5,99.22
2011-12-23 16:00:00,99.33,99.22,99.33,99.21
2011-12-23 17:00:00,99.23,99.02,99.49,98.74
2011-12-23 18:00:00,99.24,99.5,99.5,98.81
2011-12-26 10:00:00,99.39,100.0,100.0,99.32
2011-12-26 11:00:00,99.9,99.9,100.0,99.9
2011-12-26 12:00:00,99.87,99.4,99.95,99.4
2011-12-26 13:00:00,99.4,99.24,99.4,98.91
2011-12-26 14:00:00,99.25,99.29,99.3,99.08
2011-12-26 15:00:00,99.28,99.12,99.29,99.11
2011-12-26 16:00:00,99.25,99.3,99.3,99.1
2011-12-26 17:00:00,99.13,99.1,99.3,99.1
2011-12-26 18:00:00,99.09,98.99,99.49,98.3
2011-12-27 10:00:00,98.54,98.84,99.48,98.51
2011-12-27 11:00:00,98.71,97.99,98.71,96.86
2011-12-27 12:00:00,97.99,97.76,98.49,97.57
2011-12-27 13:00:00,97.76,97.89,97.95,97.58
2011-12-27 14:00:00,97.86,97.89,97.89,97.86
2011-12-27 15:00:00,97.68,97.78,98.0,95.0
2011-12-27 16:00:00,97.68,97.0,98.0,96.72
2011-12-27 17:00:00,97.1,97.5,97.6,97.1
2011-12-27 18:00:00,97.01,97.99,97.99,96.83
2011-12-28 10:00:00,97.97,98.69,98.87,97.04
2011-12-28 11:00:00,98.68,98.34,98.76,97.61
2011-12-28 12:00:00,98.0,98.12,98.34,98.0
2011-12-28 13:00:00,97.61,98.24,98.24,97.61
2011-12-28 14:00:00,98.23,98.0,98.23,98.0
2011-12-28 15:00:00,97.72,98.19,98.2,97.71
2011-12-28 16:00:00,98.09,98.19,98.19,97.98
2011-12-28 17:00:00,97.97,97.99,98.18,97.76
2011-12-28 18:00:00,97.8,97.8,97.96,96.8
2011-12-29 10:00:00,96.72,96.85,97.5,95.5
2011-12-29 11:00:00,96.55,97.81,97.96,95.0
2011-12-29 12:00:00,97.76,96.5,98.0,95.0
2011-12-29 13:00:00,96.4,96.34,97.47,95.0
2011-12-29 14:00:00,96.3,95.95,96.55,95.01
2011-12-29 15:00:00,95.96,96.0,96.0,95.95
2011-12-29 16:00:00,95.77,95.8,96.3,95.56
2011-12-29 17:00:00,95.96,95.9,95.99,95.7
