begin,open,close,high,low
2011-11-17 10:00:00,79.7,80.1,80.2,79.25
2011-11-17 11:00:00,80.1,79.84,80.4,79.63
2011-11-17 12:00:00,79.84,79.56,79.91,79.03
2011-11-17 13:00:00,79.53,79.13,79.85,78.85
2011-11-17 14:00:00,79.13,78.81,79.25,78.0
2011-11-17 15:00:00,78.79,78.65,79.15,78.4
2011-11-17 16:00:00,78.65,79.85,79.94,77.65
2011-11-17 17:00:00,79.87,80.5,81.24,79.23
2011-11-17 18:00:00,80.5,80.45,81.63,80.26
2011-11-18 10:00:00,78.95,78.9,79.41,78.33
2011-11-18 11:00:00,78.9,79.39,79.7,78.71
2011-11-18 12:00:00,79.4,79.07,79.57,78.86
2011-11-18 13:00:00,79.06,79.89,79.97,79.03
2011-11-18 14:00:00,79.9,79.59,80.06,79.36
2011-11-18 15:00:00,79.6,80.03,80.17,79.38
2011-11-18 16:00:00,80.03,80.3,80.52,79.77
2011-11-18 17:00:00,80.29,80.32,80.65,80.03
2011-11-18 18:00:00,80.32,80.03,80.44,79.94
2011-11-21 10:00:00,79.02,79.15,79.29,78.5
2011-11-21 11:00:00,79.15,78.12,79.37,77.87
2011-11-21 12:00:00,78.12,77.17,78.2,76.79
2011-11-21 13:00:00,77.16,77.5,77.82,77.12
2011-11-21 14:00:00,77.52,77.41,77.69,77.12
2011-11-21 15:00:00,77.41,77.03,77.61,76.81
2011-11-21 16:00:00,77.02,77.24,77.63,76.93
2011-11-21 17:00:00,77.24,77.24,77.57,76.9
2011-11-21 18:00:00,77.22,75.85,77.45,75.85
2011-11-22 10:00:00,76.36,77.11,77.13,76.17
2011-11-22 11:00:00,77.12,77.35,77.38,76.81
2011-11-22 12:00:00,77.35,77.09,77.76,76.93
2011-11-22 13:00:00,77.12,76.17,77.16,76.1
2011-11-22 14:00:00,76.17,77.2,77.44,76.13
2011-11-22 15:00:00,77.2,77.06,77.4,76.89
2011-11-22 16:00:00,77.05,77.04,77.17,76.62
2011-11-22 17:00:00,77.04,75.75,77.14,75.1
2011-11-22 18:00:00,75.75,76.18,76.2,75.3
2011-11-23 10:00:00,75.0,74.78,75.23,74.42
2011-11-23 11:00:00,74.81,74.8,75.39,74.66
2011-11-23 12:00:00,74.79,76.34,76.87,74.62
2011-11-23 13:00:00,76.35,76.83,77.07,76.1
2011-11-23 14:00:00,76.83,76.26,76.92,75.8
2011-11-23 15:00:00,76.26,76.98,77.39,76.01
2011-11-23 16:00:00,76.98,76.71,77.19,76.58
2011-11-23 17:00:00,76.71,76.65,77.44,76.41
2011-11-23 18:00:00,76.64,76.76,77.14,76.5
2011-11-24 10:00:00,76.7,76.66,77.29,76.25
2011-11-24 11:00:00,76.7,76.81,77.09,76.62
2011-11-24 12:00:00,76.81,76.2,77.1,75.92
2011-11-24 13:00:00,76.19,76.19,76.69,76.17
2011-11-24 14:00:00,76.19,75.7,76.3,75.62
2011-11-24 15:00:00,75.7,76.29,76.41,75.58
2011-11-24 16:00:00,76.31,76.11,76.47,75.91
2011-11-24 17:00:00,76.14,76.07,76.3,75.79
2011-11-24 18:00:00,76.06,75.71,76.19,75.51
2011-11-25 10:00:00,75.31,75.39,75.47,74.8
