begin,open,close,high,low
2011-11-17 10:00:00,62.95,63.29,63.34,62.7
2011-11-17 11:00:00,63.29,63.11,63.63,63.01
2011-11-17 12:00:00,63.1,62.68,63.37,62.22
2011-11-17 13:00:00,62.69,62.23,63.09,61.72
2011-11-17 14:00:00,62.22,62.08,62.29,61.5
2011-11-17 15:00:00,62.06,61.74,62.25,61.51
2011-11-17 16:00:00,61.68,62.12,62.18,61.02
2011-11-17 17:00:00,62.15,62.93,63.15,61.81
2011-11-17 18:00:00,62.91,62.51,63.54,62.5
2011-11-18 10:00:00,61.26,61.08,61.89,60.8
2011-11-18 11:00:00,61.14,61.65,61.84,61.07
2011-11-18 12:00:00,61.65,61.49,62.09,61.38
2011-11-18 13:00:00,61.48,61.85,62.08,61.48
2011-11-18 14:00:00,61.86,61.71,62.21,61.58
2011-11-18 15:00:00,61.7,61.57,61.94,61.5
2011-11-18 16:00:00,61.6,62.25,62.4,61.53
2011-11-18 17:00:00,62.28,62.41,62.5,62.07
2011-11-18 18:00:00,62.46,62.46,62.49,62.11
2011-11-21 10:00:00,61.67,61.65,62.28,61.17
2011-11-21 11:00:00,61.65,60.93,61.97,60.58
2011-11-21 12:00:00,60.92,59.59,60.92,59.42
2011-11-21 13:00:00,59.6,60.3,60.4,59.5
2011-11-21 14:00:00,60.3,60.26,60.36,60.1
2011-11-21 15:00:00,60.25,59.9,60.25,59.75
2011-11-21 16:00:00,59.85,60.03,60.29,59.75
2011-11-21 17:00:00,60.09,60.21,60.4,59.8
2011-11-21 18:00:00,60.2,59.1,60.28,59.1
2011-11-22 10:00:00,59.3,59.89,59.98,59.12
2011-11-22 11:00:00,59.83,60.05,60.1,59.54
2011-11-22 12:00:00,60.02,60.07,60.64,59.96
2011-11-22 13:00:00,60.04,59.61,60.3,59.61
2011-11-22 14:00:00,59.61,60.3,60.45,59.53
2011-11-22 15:00:00,60.3,60.05,60.39,60.02
2011-11-22 16:00:00,60.1,60.01,60.2,59.68
2011-11-22 17:00:00,60.02,59.06,60.09,58.4
2011-11-22 18:00:00,59.05,58.6,59.07,58.55
2011-11-23 10:00:00,58.5,57.72,58.5,57.13
2011-11-23 11:00:00,57.74,58.03,58.17,57.72
2011-11-23 12:00:00,58.02,59.36,59.6,58.0
2011-11-23 13:00:00,59.31,59.68,59.79,58.86
2011-11-23 14:00:00,59.64,59.4,59.73,58.8
2011-11-23 15:00:00,59.35,59.44,59.9,59.18
2011-11-23 16:00:00,59.45,59.44,59.75,59.25
2011-11-23 17:00:00,59.44,59.48,59.7,59.25
2011-11-23 18:00:00,59.44,59.26,59.66,59.26
2011-11-24 10:00:00,58.9,59.3,59.59,58.63
2011-11-24 11:00:00,59.31,59.59,59.79,59.3
2011-11-24 12:00:00,59.53,59.11,59.75,59.0
2011-11-24 13:00:00,59.15,59.17,59.5,59.07
2011-11-24 14:00:00,59.19,58.78,59.26,58.75
2011-11-24 15:00:00,58.81,59.3,59.37,58.75
2011-11-24 16:00:00,59.3,59.2,59.37,59.09
2011-11-24 17:00:00,59.22,59.1,59.44,58.95
2011-11-24 18:00:00,59.15,58.63,59.23,58.6
2011-11-25 10:00:00,58.33,58.54,58.6,58.0
2011-11-25 11:00:00,58.57,58.27,58.88,58.25
2011-11-25 12:00:00,58.27,58.01,58.54,58.0
2011-11-25 13:00:00,58.01,58.02,58.28,57.5
2011-11-25 14:00:00,58.09,57.77,58.19,57.76
2011-11-25 15:00:00,57.76,58.5,58.7,57.7
2011-11-25 16:00:00,58.53,58.41,58.79,58.4
2011-11-25 17:00:00,58.45,58.69,58.7,58.3
2011-11-25 18:00:00,58.7,60.19,60.21,58.65
2011-11-28 10:00:00,61.02,62.47,63.04,61.0
2011-11-28 11:00:00,62.48,61.93,62.55,61.76
2011-11-28 12:00:00,61.93,62.82,62.82,61.9
2011-11-28 13:00:00,62.82,62.96,63.2,62.53
2011-11-28 14:00:00,62.95,63.04,63.04,62.62
2011-11-28 15:00:00,63.04,63.25,63.33,62.6
2011-11-28 16:00:00,63.25,63.26,63.35,63.0
2011-11-28 17:00:00,63.26,63.49,63.62,63.0
2011-11-28 18:00:00,63.5,64.41,64.56,63.49
2011-11-29 10:00:00,64.62,64.2,65.0,63.72
2011-11-29 11:00:00,64.16,64.52,65.2,63.91
2011-11-29 12:00:00,64.51,64.53,65.35,64.39
2011-11-29 13:00:00,64.53,64.3,65.13,63.92
2011-11-29 14:00:00,64.31,64.56,64.84,64.23
2011-11-29 15:00:00,64.5,64.66,64.74,64.29
2011-11-29 16:00:00,64.66,64.1,64.7,64.01
2011-11-29 17:00:00,64.1,64.4,64.5,63.96
2011-11-29 18:00:00,64.37,64.06,64.4,64.04
2011-11-30 10:00:00,63.9,63.93,64.19,63.6
2011-11-30 11:00:00,63.91,63.41,63.97,63.19
2011-11-30 12:00:00,63.33,63.73,63.76,63.23
2011-11-30 13:00:00,63.73,64.14,64.19,63.66
2011-11-30 14:00:00,64.14,63.92,64.42,63.66
2011-11-30 15:00:00,63.92,64.79,65.2,63.9
2011-11-30 16:00:00,64.79,65.58,65.6,64.73
2011-11-30 17:00:00,65.58,67.4,67.8,65.58
2011-11-30 18:00:00,67.36,67.5,67.69,67.01
2011-12-01 10:00:00,68.3,68.13,68.7,67.7
2011-12-01 11:00:00,68.07,68.42,68.88,68.04
2011-12-01 12:00:00,68.45,67.85,68.55,67.35
2011-12-01 13:00:00,67.85,68.01,68.23,67.4
2011-12-01 14:00:00,68.04,68.26,68.29,67.97
2011-12-01 15:00:00,68.23,67.93,68.28,67.69
2011-12-01 16:00:00,67.92,68.21,68.3,67.77
2011-12-01 17:00:00,68.23,67.72,68.23,67.03
2011-12-01 18:00:00,67.72,67.8,67.99,67.51
2011-12-02 10:00:00,67.84,67.86,68.3,67.67
2011-12-02 11:00:00,67.87,68.28,68.69,67.87
2011-12-02 12:00:00,68.3,68.12,68.6,67.85
2011-12-02 13:00:00,68.12,68.32,68.34,67.95
2011-12-02 14:00:00,68.34,69.0,69.1,68.32
2011-12-02 15:00:00,69.0,68.64,69.0,68.03
2011-12-02 16:00:00,68.57,68.83,68.92,68.47
2011-12-02 17:00:00,68.8,68.92,69.1,68.47
2011-12-02 18:00:00,68.93,68.79,68.94,68.54
2011-12-05 10:00:00,68.98,68.89,69.19,68.29
2011-12-05 11:00:00,68.83,69.06,69.29,68.72
2011-12-05 12:00:00,69.06,69.06,69.2,68.87
2011-12-05 13:00:00,69.1,69.0,69.18,68.87
2011-12-05 14:00:00,69.0,68.85,69.0,68.82
2011-12-05 15:00:00,68.91,68.7,68.97,68.55
2011-12-05 16:00:00,68.7,68.69,68.93,68.59
2011-12-05 17:00:00,68.7,68.93,68.94,68.61
2011-12-05 18:00:00,68.92,69.0,69.28,68.85
2011-12-06 10:00:00,68.4,67.9,68.5,67.8
2011-12-06 11:00:00,67.9,67.47,67.92,67.13
