begin,open,close,high,low
2011-11-17 10:00:00,28.28,28.662,28.727,28.151
2011-11-17 11:00:00,28.669,28.455,28.819,28.42
2011-11-17 12:00:00,28.455,28.187,28.484,27.9
2011-11-17 13:00:00,28.2,28.174,28.438,28.076
2011-11-17 14:00:00,28.174,28.12,28.24,27.85
2011-11-17 15:00:00,28.12,28.093,28.24,27.99
2011-11-17 16:00:00,28.081,28.101,28.101,27.867
2011-11-17 17:00:00,28.11,28.485,28.579,28.11
2011-11-17 18:00:00,28.48,28.512,28.699,28.439
2011-11-18 10:00:00,28.13,27.733,28.191,27.651
2011-11-18 11:00:00,27.732,27.918,28.027,27.732
2011-11-18 12:00:00,27.942,28.124,28.284,27.812
2011-11-18 13:00:00,28.107,28.299,28.35,28.06
2011-11-18 14:00:00,28.299,28.052,28.338,27.915
2011-11-18 15:00:00,28.068,28.161,28.2,28.043
2011-11-18 16:00:00,28.18,28.35,28.587,28.13
2011-11-18 17:00:00,28.35,28.35,28.485,28.2
2011-11-18 18:00:00,28.35,28.37,28.494,28.271
2011-11-21 10:00:00,28.141,27.872,28.2,27.785
2011-11-21 11:00:00,27.861,27.4,27.87,27.298
2011-11-21 12:00:00,27.4,27.208,27.585,27.102
2011-11-21 13:00:00,27.209,27.166,27.375,27.102
2011-11-21 14:00:00,27.164,27.154,27.34,27.02
2011-11-21 15:00:00,27.154,26.893,27.236,26.85
2011-11-21 16:00:00,26.89,27.179,27.447,26.831
2011-11-21 17:00:00,27.179,27.221,27.275,26.925
2011-11-21 18:00:00,27.222,26.701,27.24,26.688
2011-11-22 10:00:00,26.703,27.102,27.15,26.7
2011-11-22 11:00:00,27.103,27.139,27.194,26.968
2011-11-22 12:00:00,27.131,27.12,27.278,26.997
2011-11-22 13:00:00,27.116,26.929,27.195,26.909
2011-11-22 14:00:00,26.917,27.277,27.285,26.78
2011-11-22 15:00:00,27.27,27.169,27.349,27.166
2011-11-22 16:00:00,27.168,27.139,27.198,27.03
2011-11-22 17:00:00,27.14,26.925,27.182,26.752
2011-11-22 18:00:00,26.925,26.943,27.0,26.776
2011-11-23 10:00:00,26.72,26.423,26.729,26.324
2011-11-23 11:00:00,26.407,26.219,26.468,26.211
2011-11-23 12:00:00,26.219,26.97,27.05,26.201
2011-11-23 13:00:00,26.955,27.124,27.244,26.834
2011-11-23 14:00:00,27.107,26.742,27.217,26.7
2011-11-23 15:00:00,26.767,26.972,27.178,26.677
2011-11-23 16:00:00,27.0,26.865,27.077,26.81
2011-11-23 17:00:00,26.873,26.992,27.146,26.8
2011-11-23 18:00:00,26.98,26.779,27.1,26.711
2011-11-24 10:00:00,26.552,26.974,27.129,26.55
2011-11-24 11:00:00,26.977,26.861,27.087,26.812
2011-11-24 12:00:00,26.863,26.864,26.998,26.807
2011-11-24 13:00:00,26.864,26.822,26.995,26.807
2011-11-24 14:00:00,26.822,26.832,26.883,26.764
2011-11-24 15:00:00,26.812,27.031,27.047,26.802
2011-11-24 16:00:00,27.013,26.903,27.046,26.882
2011-11-24 17:00:00,26.903,26.897,26.978,26.834
2011-11-24 18:00:00,26.897,26.878,26.93,26.835
2011-11-25 10:00:00,26.67,26.887,26.9,26.4
2011-11-25 11:00:00,26.893,26.904,27.1,26.8
2011-11-25 12:00:00,26.87,26.552,26.999,26.55
2011-11-25 13:00:00,26.552,26.582,26.63,26.35
2011-11-25 14:00:00,26.585,26.241,26.647,26.225
2011-11-25 15:00:00,26.232,26.417,26.492,26.154
2011-11-25 16:00:00,26.44,26.566,26.62,26.427
2011-11-25 17:00:00,26.551,26.607,26.66,26.4
2011-11-25 18:00:00,26.638,26.875,26.94,26.612
2011-11-28 10:00:00,27.058,27.3,27.385,27.033
2011-11-28 11:00:00,27.299,27.209,27.322,27.155
2011-11-28 12:00:00,27.21,27.959,27.959,27.192
2011-11-28 13:00:00,27.957,28.15,28.165,27.806
2011-11-28 14:00:00,28.129,27.99,28.197,27.81
2011-11-28 15:00:00,27.988,27.834,28.005,27.724
2011-11-28 16:00:00,27.857,28.111,28.15,27.771
2011-11-28 17:00:00,28.111,28.19,28.279,28.04
2011-11-28 18:00:00,28.19,28.378,28.444,28.185
2011-11-29 10:00:00,28.25,28.332,28.649,28.094
2011-11-29 11:00:00,28.331,28.111,28.34,28.071
2011-11-29 12:00:00,28.111,27.913,28.35,27.894
2011-11-29 13:00:00,27.913,28.205,28.28,27.911
2011-11-29 14:00:00,28.208,28.3,28.432,28.122
2011-11-29 15:00:00,28.308,28.255,28.331,28.166
2011-11-29 16:00:00,28.24,27.862,28.298,27.856
2011-11-29 17:00:00,27.867,28.09,28.09,27.711
2011-11-29 18:00:00,28.064,27.919,28.247,27.8
2011-11-30 10:00:00,27.806,28.136,28.415,27.806
2011-11-30 11:00:00,28.136,27.986,28.186,27.91
2011-11-30 12:00:00,27.985,28.405,28.405,27.936
2011-11-30 13:00:00,28.405,28.419,28.525,28.373
2011-11-30 14:00:00,28.436,28.464,28.5,28.37
2011-11-30 15:00:00,28.464,28.463,28.577,28.352
2011-11-30 16:00:00,28.434,28.499,28.499,28.406
2011-11-30 17:00:00,28.499,29.0,29.136,28.486
2011-11-30 18:00:00,29.0,29.485,29.507,28.997
2011-12-01 10:00:00,29.699,29.84,29.9,29.43
2011-12-01 11:00:00,29.84,29.7,30.078,29.699
2011-12-01 12:00:00,29.706,29.913,29.949,29.601
2011-12-01 13:00:00,29.913,29.946,30.0,29.745
2011-12-01 14:00:00,29.942,29.989,30.0,29.806
2011-12-01 15:00:00,29.988,29.869,29.994,29.67
2011-12-01 16:00:00,29.88,29.997,30.0,29.788
2011-12-01 17:00:00,29.973,29.765,29.999,29.637
2011-12-01 18:00:00,29.718,29.83,29.93,29.678
2011-12-02 10:00:00,29.869,29.519,30.1,29.515
2011-12-02 11:00:00,29.519,29.7,29.78,29.403
2011-12-02 12:00:00,29.7,29.752,29.81,29.609
2011-12-02 13:00:00,29.751,29.7,29.756,29.5
2011-12-02 14:00:00,29.696,29.894,30.046,29.674
2011-12-02 15:00:00,29.9,29.829,29.97,29.7
2011-12-02 16:00:00,29.822,29.76,29.969,29.67
2011-12-02 17:00:00,29.76,29.703,29.797,29.58
2011-12-02 18:00:00,29.703,29.418,29.74,29.35
2011-12-05 10:00:00,29.58,29.327,29.686,29.08
2011-12-05 11:00:00,29.287,29.168,29.359,29.055
2011-12-05 12:00:00,29.158,29.2,29.289,29.034
2011-12-05 13:00:00,29.2,29.239,29.25,29.075
2011-12-05 14:00:00,29.239,29.404,29.47,29.144
2011-12-05 15:00:00,29.386,29.262,29.41,29.211
2011-12-05 16:00:00,29.261,29.371,29.449,29.22
2011-12-05 17:00:00,29.375,29.356,29.45,29.332
2011-12-05 18:00:00,29.392,29.4,29.45,29.29
2011-12-06 10:00:00,29.15,29.19,29.257,29.091
2011-12-06 11:00:00,29.178,29.18,29.37,29.077
2011-12-06 12:00:00,29.18,29.422,29.633,29.123
2011-12-06 13:00:00,29.423,29.163,29.459,29.131
2011-12-06 14:00:00,29.163,29.235,29.368,29.098
2011-12-06 15:00:00,29.235,28.699,29.315,28.632
2011-12-06 16:00:00,28.699,28.529,28.771,28.508
2011-12-06 17:00:00,28.522,28.289,28.55,28.212
2011-12-06 18:00:00,28.29,28.3,28.48,28.102
2011-12-07 10:00:00,28.4,28.323,28.444,28.094
2011-12-07 11:00:00,28.341,28.107,28.442,27.858
2011-12-07 12:00:00,28.127,28.482,28.5,28.108
2011-12-07 13:00:00,28.48,28.287,28.485,28.15
2011-12-07 14:00:00,28.286,28.327,28.567,28.111
2011-12-07 15:00:00,28.328,28.398,28.559,28.243
2011-12-07 16:00:00,28.39,28.167,28.497,28.11
2011-12-07 17:00:00,28.166,28.158,28.322,27.924
2011-12-07 18:00:00,28.133,28.03,28.175,27.966
2011-12-08 10:00:00,28.0,28.19,28.364,28.0
2011-12-08 11:00:00,28.19,28.342,28.357,28.13
2011-12-08 12:00:00,28.343,28.501,28.555,28.343
2011-12-08 13:00:00,28.528,28.469,28.561,28.383
2011-12-08 14:00:00,28.483,28.424,28.55,28.424
2011-12-08 15:00:00,28.423,28.17,28.532,28.08
2011-12-08 16:00:00,28.156,28.4,28.45,28.083
2011-12-08 17:00:00,28.399,28.219,28.62,28.195
2011-12-08 18:00:00,28.22,27.997,28.22,27.851
2011-12-09 10:00:00,27.621,27.068,27.626,27.003
2011-12-09 11:00:00,27.051,26.335,27.073,26.177
2011-12-09 12:00:00,26.322,26.677,26.69,26.1
2011-12-09 13:00:00,26.677,26.433,26.747,26.231
