begin,open,close,high,low
2011-11-17 10:00:00,16.34,16.418,16.498,16.34
2011-11-17 11:00:00,16.444,16.397,16.498,16.355
2011-11-17 12:00:00,16.398,16.161,16.398,16.03
2011-11-17 13:00:00,16.163,16.3,16.329,16.16
2011-11-17 14:00:00,16.301,16.15,16.318,16.12
2011-11-17 15:00:00,16.15,16.065,16.154,16.05
2011-11-17 16:00:00,16.055,16.032,16.07,15.9
2011-11-17 17:00:00,16.045,16.247,16.25,16.02
2011-11-17 18:00:00,16.246,16.299,16.348,16.24
2011-11-18 10:00:00,15.983,15.982,16.127,15.951
2011-11-18 11:00:00,15.994,16.069,16.09,15.994
2011-11-18 12:00:00,16.068,16.084,16.16,16.03
2011-11-18 13:00:00,16.078,16.34,16.45,16.078
2011-11-18 14:00:00,16.34,16.33,16.39,16.217
2011-11-18 15:00:00,16.299,16.339,16.349,16.254
2011-11-18 16:00:00,16.338,16.48,16.5,16.334
2011-11-18 17:00:00,16.48,16.458,16.48,16.319
2011-11-18 18:00:00,16.45,16.33,16.48,16.311
2011-11-21 10:00:00,16.222,16.052,16.398,16.036
2011-11-21 11:00:00,16.073,16.001,16.35,15.971
2011-11-21 12:00:00,16.016,15.75,16.035,15.72
2011-11-21 13:00:00,15.749,15.78,15.787,15.682
2011-11-21 14:00:00,15.737,15.698,15.747,15.65
2011-11-21 15:00:00,15.67,15.705,15.759,15.616
2011-11-21 16:00:00,15.706,15.82,15.862,15.7
2011-11-21 17:00:00,15.812,15.847,15.85,15.72
2011-11-21 18:00:00,15.847,15.77,15.849,15.667
2011-11-22 10:00:00,15.611,15.869,15.944,15.611
2011-11-22 11:00:00,15.869,15.871,15.945,15.8
2011-11-22 12:00:00,15.883,15.85,15.945,15.84
2011-11-22 13:00:00,15.84,15.822,15.9,15.761
2011-11-22 14:00:00,15.822,15.888,15.939,15.8
2011-11-22 15:00:00,15.888,15.9,15.944,15.86
2011-11-22 16:00:00,15.87,15.849,15.9,15.836
2011-11-22 17:00:00,15.848,15.83,15.9,15.695
2011-11-22 18:00:00,15.8,15.869,15.985,15.768
2011-11-23 10:00:00,15.85,15.646,15.85,15.622
2011-11-23 11:00:00,15.637,15.597,15.74,15.58
2011-11-23 12:00:00,15.597,15.849,15.85,15.58
