begin,open,close,high,low
2011-11-17 10:00:00,160.51,161.65,162.39,160.5
2011-11-17 11:00:00,161.88,161.51,162.68,161.15
2011-11-17 12:00:00,161.51,160.39,161.69,158.92
2011-11-17 13:00:00,160.39,159.13,161.49,158.5
2011-11-17 14:00:00,159.14,156.97,159.7,155.63
2011-11-17 15:00:00,157.12,154.98,157.69,154.09
2011-11-17 16:00:00,154.67,156.26,156.43,154.22
2011-11-17 17:00:00,156.4,157.39,157.53,155.82
2011-11-17 18:00:00,157.22,157.05,158.2,156.56
2011-11-18 10:00:00,155.42,153.63,155.99,153.1
2011-11-18 11:00:00,153.58,155.64,156.0,153.58
2011-11-18 12:00:00,155.75,156.0,156.67,154.6
2011-11-18 13:00:00,156.23,156.25,156.9,155.86
2011-11-18 14:00:00,156.0,155.62,156.7,155.17
2011-11-18 15:00:00,155.5,155.58,155.79,154.68
2011-11-18 16:00:00,155.76,155.97,156.34,155.0
2011-11-18 17:00:00,155.97,156.0,156.01,155.07
2011-11-18 18:00:00,155.9,154.14,155.99,154.11
2011-11-21 10:00:00,153.25,152.3,153.97,151.41
2011-11-21 11:00:00,152.3,148.5,152.3,147.6
2011-11-21 12:00:00,148.4,146.35,148.72,145.2
2011-11-21 13:00:00,146.34,145.25,147.13,145.05
2011-11-21 14:00:00,145.52,145.75,146.95,145.15
2011-11-21 15:00:00,145.73,145.53,146.62,145.05
2011-11-21 16:00:00,145.94,146.97,147.67,145.51
2011-11-21 17:00:00,147.24,146.37,147.24,146.08
2011-11-21 18:00:00,146.24,143.7,146.77,143.5
2011-11-22 10:00:00,143.5,145.77,145.95,142.86
2011-11-22 11:00:00,145.77,146.9,146.9,145.71
2011-11-22 12:00:00,146.89,147.2,148.3,146.67
2011-11-22 13:00:00,147.14,146.53,147.95,146.53
2011-11-22 14:00:00,146.53,147.5,147.76,146.5
2011-11-22 15:00:00,147.34,147.39,148.4,147.32
2011-11-22 16:00:00,147.59,147.02,147.6,146.73
2011-11-22 17:00:00,147.1,146.47,147.26,145.82
2011-11-22 18:00:00,146.5,148.26,148.3,146.5
2011-11-23 10:00:00,146.32,146.23,147.19,145.01
2011-11-23 11:00:00,146.23,145.51,146.75,145.51
2011-11-23 12:00:00,145.5,149.41,150.5,145.33
2011-11-23 13:00:00,149.41,150.25,151.65,148.5
