begin,open,close,high,low
2011-11-17 10:00:00,95.4,96.0,96.19,95.4
2011-11-17 11:00:00,96.2,96.48,96.5,95.99
2011-11-17 12:00:00,96.24,97.4,97.48,96.0
2011-11-17 13:00:00,97.4,98.64,99.0,97.0
2011-11-17 14:00:00,98.64,97.97,98.64,96.61
2011-11-17 15:00:00,97.97,97.15,97.98,96.16
2011-11-17 16:00:00,97.15,98.2,98.2,97.0
2011-11-17 17:00:00,98.2,98.0,98.2,97.0
2011-11-17 18:00:00,97.61,97.21,97.62,97.21
2011-11-18 10:00:00,96.26,95.0,96.26,94.25
2011-11-18 11:00:00,95.01,95.5,95.79,95.0
2011-11-18 12:00:00,95.49,95.13,95.49,95.0
2011-11-18 13:00:00,95.13,95.0,95.21,94.4
2011-11-18 14:00:00,95.0,94.87,95.0,94.34
2011-11-18 15:00:00,94.86,95.79,95.79,94.61
2011-11-18 16:00:00,95.78,95.36,95.97,95.36
2011-11-18 17:00:00,95.07,95.32,95.68,94.99
2011-11-18 18:00:00,95.5,95.01,95.69,95.0
2011-11-21 10:00:00,93.23,93.29,93.29,92.53
2011-11-21 11:00:00,94.3,94.3,94.31,94.3
2011-11-21 12:00:00,94.3,94.2,94.49,94.0
2011-11-21 13:00:00,94.2,94.2,94.29,93.99
2011-11-21 14:00:00,94.2,95.01,95.55,94.2
2011-11-21 15:00:00,95.01,95.6,95.79,95.0
2011-11-21 16:00:00,95.6,95.61,95.61,95.6
2011-11-21 17:00:00,95.6,95.02,95.61,95.01
2011-11-21 18:00:00,95.02,93.0,95.3,92.83
2011-11-22 10:00:00,93.98,95.0,95.0,93.69
2011-11-22 11:00:00,95.0,95.33,95.33,94.75
2011-11-22 12:00:00,95.01,94.8,95.18,94.8
2011-11-22 13:00:00,94.8,95.01,95.01,94.8
2011-11-22 14:00:00,95.01,95.11,95.18,95.0
2011-11-22 15:00:00,95.29,98.0,98.0,95.04
2011-11-22 16:00:00,97.76,97.51,97.99,97.0
2011-11-22 17:00:00,97.5,96.9,97.5,96.0
2011-11-22 18:00:00,96.72,96.71,96.8,96.71
2011-11-23 10:00:00,95.01,95.29,95.79,95.01
2011-11-23 11:00:00,95.07,95.01,95.3,95.01
2011-11-23 12:00:00,94.86,95.56,95.78,94.65
2011-11-23 13:00:00,95.6,95.82,96.37,95.13
2011-11-23 14:00:00,95.99,95.11,96.0,94.96
2011-11-23 15:00:00,94.95,95.29,95.35,94.87
2011-11-23 16:00:00,95.22,95.76,95.76,95.0
2011-11-23 17:00:00,95.31,96.0,96.0,95.0
2011-11-23 18:00:00,96.0,96.0,96.0,95.46
2011-11-24 10:00:00,96.04,96.9,96.91,96.0
2011-11-24 11:00:00,96.99,96.99,97.0,96.16
2011-11-24 12:00:00,96.48,96.2,97.0,96.0
2011-11-24 13:00:00,96.89,96.4,96.99,96.4
2011-11-24 14:00:00,96.4,95.59,96.4,95.59
2011-11-24 15:00:00,96.18,96.5,96.5,96.18
2011-11-24 16:00:00,96.7,96.78,96.78,96.7
2011-11-24 17:00:00,96.7,96.53,96.75,96.53
2011-11-24 18:00:00,96.78,96.78,96.8,96.78
2011-11-25 12:00:00,96.5,95.0,96.5,94.3
2011-11-25 13:00:00,95.0,95.02,95.42,95.0
2011-11-25 14:00:00,95.02,95.0,95.5,95.0
2011-11-25 15:00:00,95.49,94.09,95.49,94.08
2011-11-25 16:00:00,94.3,93.7,94.3,93.7
2011-11-25 17:00:00,93.68,94.01,94.01,93.68
2011-11-25 18:00:00,94.8,94.0,94.93,93.99
2011-11-28 10:00:00,96.0,95.5,96.0,95.29
2011-11-28 11:00:00,95.55,94.49,95.55,94.49
2011-11-28 12:00:00,94.49,95.0,95.48,93.7
2011-11-28 13:00:00,94.94,95.2,95.34,94.94
2011-11-28 14:00:00,95.2,95.44,95.44,94.98
2011-11-28 15:00:00,95.39,94.99,95.4,94.99
2011-11-28 16:00:00,94.99,95.0,95.0,94.75
2011-11-28 17:00:00,95.0,95.79,95.79,94.51
