begin,open,close,high,low
2005-01-10 00:00:00,35.0,34.22,35.0,31.51
2005-01-17 00:00:00,34.22,33.55,34.7,32.5
2005-01-24 00:00:00,33.55,34.79,34.8,32.65
2005-01-31 00:00:00,34.52,45.3,48.39,34.52
2005-02-07 00:00:00,43.5,38.8,45.9,37.0
2005-02-14 00:00:00,39.0,40.45,41.99,38.66
2005-02-21 00:00:00,40.7,40.5,43.0,39.06
2005-02-28 00:00:00,40.39,41.6,41.9,39.7
2005-03-07 00:00:00,41.7,40.0,41.7,39.65
2005-03-14 00:00:00,40.05,41.2,41.3,39.61
2005-03-21 00:00:00,41.2,45.5,45.7,40.0
2005-03-28 00:00:00,45.51,43.4,45.6,42.6
2005-04-04 00:00:00,43.2,43.5,44.8,43.0
2005-04-11 00:00:00,43.5,42.8,43.5,41.51
2005-04-18 00:00:00,42.84,42.59,43.44,41.71
2005-04-25 00:00:00,42.31,41.35,42.5,40.65
2005-05-02 00:00:00,41.75,41.64,41.98,39.01
2005-05-09 00:00:00,41.96,42.29,43.59,40.86
2005-05-16 00:00:00,42.3,41.6,43.89,40.9
2005-05-23 00:00:00,42.47,42.7,43.2,41.03
2005-05-30 00:00:00,43.0,41.95,43.0,41.5
2005-06-06 00:00:00,42.18,41.85,42.38,41.5
2005-06-13 00:00:00,41.99,42.5,43.49,41.76
2005-06-20 00:00:00,42.78,42.33,42.78,41.71
2005-06-27 00:00:00,42.23,42.51,42.51,41.24
2005-07-04 00:00:00,42.84,43.1,43.25,41.91
2005-07-11 00:00:00,43.35,44.0,44.25,42.4
2005-07-18 00:00:00,44.0,43.2,44.95,43.0
2005-07-25 00:00:00,43.75,42.29,43.75,41.87
2005-08-01 00:00:00,42.04,42.38,43.0,41.99
2005-08-08 00:00:00,44.0,41.77,44.0,41.0
2005-08-15 00:00:00,41.87,42.09,42.2,40.0
2005-08-22 00:00:00,42.1,41.75,42.7,41.1
2005-08-29 00:00:00,41.62,41.49,41.99,40.61
2005-09-05 00:00:00,41.48,39.7,41.48,37.8
2005-09-12 00:00:00,39.5,38.75,39.85,38.6
