begin,open,close,high,low
2005-01-10 00:00:00,4.0,4.044,4.139,3.951
2005-01-17 00:00:00,4.06,4.05,4.089,4.007
2005-01-24 00:00:00,4.05,4.218,4.235,3.956
2005-01-31 00:00:00,4.214,4.17,4.265,4.157
2005-02-07 00:00:00,4.16,3.987,4.195,3.961
2005-02-14 00:00:00,3.988,3.914,3.989,3.863
2005-02-21 00:00:00,3.925,3.85,4.055,3.84
2005-02-28 00:00:00,3.85,3.215,3.884,2.921
2005-03-07 00:00:00,3.15,3.01,3.26,2.98
2005-03-14 00:00:00,3.03,2.853,3.05,2.5
2005-03-21 00:00:00,2.936,3.093,3.198,2.807
2005-03-28 00:00:00,3.165,3.31,3.397,2.699
2005-04-04 00:00:00,2.893,2.686,3.09,2.2
2005-04-11 00:00:00,2.685,2.515,2.749,2.5
2005-04-18 00:00:00,2.5,2.612,2.7,2.24
2005-04-25 00:00:00,2.646,2.535,2.889,2.475
2005-05-02 00:00:00,2.535,2.54,2.592,2.484
2005-05-09 00:00:00,2.517,2.429,2.552,2.389
2005-05-16 00:00:00,2.344,2.579,2.7,2.29
2005-05-23 00:00:00,2.565,2.457,2.739,2.4
2005-05-30 00:00:00,2.45,2.27,2.459,2.258
2005-06-06 00:00:00,2.193,2.282,2.345,2.097
2005-06-13 00:00:00,2.296,2.167,2.328,2.156
2005-06-20 00:00:00,2.195,2.113,2.245,2.097
2005-06-27 00:00:00,2.127,2.266,2.289,2.085
2005-07-04 00:00:00,2.304,2.39,2.416,2.194
2005-07-11 00:00:00,2.4,2.453,2.478,2.35
2005-07-18 00:00:00,2.45,2.379,2.48,2.365
2005-07-25 00:00:00,2.375,2.4,2.463,2.305
2005-08-01 00:00:00,2.41,2.408,2.442,2.37
2005-08-08 00:00:00,2.408,2.365,2.42,2.34
2005-08-15 00:00:00,2.36,2.362,2.4,2.339
2005-08-22 00:00:00,2.365,2.23,2.365,2.205
2005-08-29 00:00:00,2.232,2.461,2.515,2.223
2005-09-05 00:00:00,2.48,2.66,2.85,2.307
