begin,open,close,high,low
2005-01-10 00:00:00,50.15,49.9,51.79,49.1
2005-01-17 00:00:00,49.8,48.53,50.94,47.45
2005-01-24 00:00:00,48.5,51.04,51.35,48.41
2005-01-31 00:00:00,51.28,57.99,58.08,50.27
2005-02-07 00:00:00,58.21,56.65,59.59,56.51
2005-02-14 00:00:00,56.5,58.96,59.88,55.81
2005-02-21 00:00:00,59.1,59.8,60.74,57.8
2005-02-28 00:00:00,59.9,61.22,61.35,57.35
2005-03-07 00:00:00,60.66,59.91,62.6,58.77
2005-03-14 00:00:00,59.99,58.65,60.1,57.8
2005-03-21 00:00:00,58.65,58.8,59.55,55.8
2005-03-28 00:00:00,58.81,59.35,59.48,57.06
2005-04-04 00:00:00,59.29,64.69,65.3,59.0
2005-04-11 00:00:00,64.21,61.14,64.98,61.1
2005-04-18 00:00:00,60.6,61.47,62.4,59.81
2005-04-25 00:00:00,61.48,58.3,62.35,57.8
2005-05-02 00:00:00,58.93,58.63,60.23,58.31
2005-05-09 00:00:00,57.91,56.75,58.1,55.92
2005-05-16 00:00:00,56.77,56.27,57.39,54.81
2005-05-23 00:00:00,56.4,57.3,58.79,56.11
2005-05-30 00:00:00,57.37,56.87,57.5,56.2
2005-06-06 00:00:00,56.81,56.83,57.45,56.31
2005-06-13 00:00:00,57.01,57.58,57.82,56.65
2005-06-20 00:00:00,57.65,58.7,59.45,57.32
2005-06-27 00:00:00,58.63,58.97,59.07,57.0
2005-07-04 00:00:00,59.3,59.87,60.63,57.0
2005-07-11 00:00:00,60.4,59.2,62.56,58.95
2005-07-18 00:00:00,58.88,59.79,60.25,58.08
2005-07-25 00:00:00,60.0,59.67,60.75,59.2
2005-08-01 00:00:00,59.44,63.25,64.19,58.37
2005-08-08 00:00:00,63.44,62.07,64.57,61.5
2005-08-15 00:00:00,62.09,65.0,65.36,61.73
2005-08-22 00:00:00,65.65,64.5,66.19,61.64
2005-08-29 00:00:00,64.15,66.5,66.6,63.23
2005-09-05 00:00:00,68.7,68.75,69.49,62.3
2005-09-12 00:00:00,69.56,73.5,75.73,68.65
2005-09-19 00:00:00,73.5,72.05,74.2,69.53
2005-09-26 00:00:00,72.0,72.23,74.2,71.05
2005-10-03 00:00:00,72.33,67.7,74.91,66.7
2005-10-10 00:00:00,68.31,62.59,70.5,62.45
2005-10-17 00:00:00,62.98,62.9,63.7,58.8
2005-10-24 00:00:00,62.0,58.89,63.95,57.61
2005-10-31 00:00:00,60.77,62.2,63.19,58.71
2005-11-07 00:00:00,62.44,62.3,63.87,61.07
2005-11-14 00:00:00,62.3,67.69,67.79,62.11
2005-11-21 00:00:00,67.78,67.3,68.29,65.56
2005-11-28 00:00:00,67.58,68.7,70.98,64.76
2005-12-05 00:00:00,68.71,66.6,69.2,64.52
2005-12-12 00:00:00,66.6,64.75,67.7,63.25
2005-12-19 00:00:00,64.69,64.65,65.7,63.84
2005-12-26 00:00:00,65.01,64.55,65.73,63.91
2006-01-09 00:00:00,66.5,67.25,70.4,65.72
2006-01-16 00:00:00,67.35,65.05,69.29,63.89
2006-01-23 00:00:00,64.76,65.55,66.9,63.75
2006-01-30 00:00:00,65.85,64.8,66.52,62.51
2006-02-06 00:00:00,65.0,66.2,68.24,64.8
2006-02-13 00:00:00,66.05,76.4,81.52,66.03
2006-02-20 00:00:00,76.45,93.36,96.0,75.65
2006-02-27 00:00:00,94.0,92.3,108.41,88.5
2006-03-06 00:00:00,91.4,90.51,94.3,83.32
2006-03-13 00:00:00,90.7,91.72,98.8,88.7
2006-03-20 00:00:00,91.06,90.3,93.33,88.88
2006-03-27 00:00:00,91.0,89.89,91.99,85.53
2006-04-03 00:00:00,89.89,95.99,97.1,89.69
2006-04-10 00:00:00,95.71,96.51,98.14,92.55
2006-04-17 00:00:00,96.69,97.14,100.45,95.51
2006-04-24 00:00:00,96.53,96.67,100.0,94.11
2006-05-01 00:00:00,100.01,99.24,104.8,98.2
2006-05-08 00:00:00,99.5,90.7,100.15,90.0
2006-05-15 00:00:00,90.0,85.64,91.16,85.02
2006-05-22 00:00:00,85.99,96.92,97.0,78.03
2006-05-29 00:00:00,96.98,119.0,119.87,95.4
2006-06-05 00:00:00,123.15,119.32,129.55,108.5
2006-06-12 00:00:00,114.0,107.0,114.99,99.0
2006-06-19 00:00:00,105.88,116.5,121.72,105.88
2006-06-26 00:00:00,117.5,128.89,131.0,116.11
2006-07-03 00:00:00,128.69,130.7,135.4,123.6
2006-07-10 00:00:00,128.05,125.41,132.4,116.69
2006-07-17 00:00:00,125.31,132.79,142.0,122.01
2006-07-24 00:00:00,132.37,133.19,136.19,130.99
2006-07-31 00:00:00,134.75,126.2,138.8,124.02
2006-08-07 00:00:00,126.2,127.5,131.49,124.3
2006-08-14 00:00:00,127.99,127.6,137.0,124.82
2006-08-21 00:00:00,127.0,131.09,134.0,127.0
2006-08-28 00:00:00,131.8,128.89,132.0,125.5
2006-09-04 00:00:00,129.5,129.42,130.5,125.13
2006-09-11 00:00:00,128.7,128.9,130.51,126.4
2006-09-18 00:00:00,129.92,129.2,133.16,127.55
2006-09-25 00:00:00,128.87,134.0,138.89,125.5
2006-10-02 00:00:00,134.44,138.45,139.48,131.8
2006-10-09 00:00:00,138.23,136.74,138.48,129.27
2006-10-16 00:00:00,138.92,133.29,138.92,131.31
2006-10-23 00:00:00,133.37,132.9,134.71,131.52
2006-10-30 00:00:00,126.76,138.71,138.9,126.76
2006-11-06 00:00:00,140.59,144.85,145.4,138.55
2006-11-13 00:00:00,144.84,154.3,155.12,143.3
2006-11-20 00:00:00,154.15,161.77,162.71,152.3
2006-11-27 00:00:00,161.89,166.45,171.0,161.61
2006-12-04 00:00:00,166.92,171.3,171.85,165.02
2006-12-11 00:00:00,171.5,184.1,186.0,169.96
2006-12-18 00:00:00,183.9,185.97,194.3,181.1
2006-12-25 00:00:00,185.51,194.79,205.84,174.13
2007-01-08 00:00:00,196.0,194.25,205.5,185.5
2007-01-15 00:00:00,196.0,197.01,201.07,192.04
2007-01-22 00:00:00,199.0,203.64,205.79,198.1
2007-01-29 00:00:00,204.48,213.65,215.99,203.02
2007-02-05 00:00:00,214.64,208.95,215.75,206.84
2007-02-12 00:00:00,210.98,215.5,218.0,200.0
2007-02-19 00:00:00,213.71,216.39,218.55,211.75
2007-02-26 00:00:00,216.5,210.99,224.0,200.16
2007-03-05 00:00:00,206.0,216.5,217.59,200.3
2007-03-12 00:00:00,216.82,218.5,221.99,208.0
2007-03-19 00:00:00,219.5,227.45,227.87,201.0
2007-03-26 00:00:00,227.53,223.6,230.9,219.25
2007-04-02 00:00:00,224.0,224.05,225.9,217.88
2007-04-09 00:00:00,224.08,228.07,229.98,224.0
2007-04-16 00:00:00,229.65,240.0,240.0,227.35
2007-04-23 00:00:00,240.0,225.39,258.39,223.02
2007-04-30 00:00:00,223.05,233.9,234.0,220.06
2007-05-07 00:00:00,235.0,234.87,237.48,226.0
2007-05-14 00:00:00,234.89,240.0,243.0,228.29
2007-05-21 00:00:00,240.71,230.3,244.83,226.0
2007-05-28 00:00:00,232.02,229.0,233.5,216.0
