begin,open,close,high,low
2005-01-10 00:00:00,39.8,39.28,40.29,38.8
2005-01-17 00:00:00,39.4,38.05,39.74,37.42
2005-01-24 00:00:00,37.96,39.73,39.78,37.96
2005-01-31 00:00:00,39.79,43.05,44.03,38.46
2005-02-07 00:00:00,43.39,43.03,44.38,42.5
2005-02-14 00:00:00,42.99,43.88,44.37,42.85
2005-02-21 00:00:00,44.0,45.4,46.3,44.0
2005-02-28 00:00:00,45.4,46.08,46.45,44.18
2005-03-07 00:00:00,46.1,45.66,47.47,44.89
2005-03-14 00:00:00,45.67,44.2,45.67,43.6
2005-03-21 00:00:00,44.13,44.43,45.08,42.86
2005-03-28 00:00:00,44.4,44.2,44.54,43.51
2005-04-04 00:00:00,44.25,47.68,48.03,44.05
2005-04-11 00:00:00,47.4,44.96,48.59,44.5
2005-04-18 00:00:00,44.83,47.05,49.23,44.02
2005-04-25 00:00:00,47.2,46.4,48.81,45.91
2005-05-02 00:00:00,46.49,45.9,46.89,45.3
2005-05-09 00:00:00,43.51,41.9,43.7,41.2
2005-05-16 00:00:00,39.66,40.59,41.71,39.3
2005-05-23 00:00:00,40.59,41.24,41.99,40.35
2005-05-30 00:00:00,43.7,41.32,43.7,40.74
2005-06-06 00:00:00,41.19,40.94,41.5,40.6
2005-06-13 00:00:00,41.06,42.43,42.91,41.0
2005-06-20 00:00:00,42.5,44.8,45.19,41.92
2005-06-27 00:00:00,44.75,44.13,44.75,42.43
2005-07-04 00:00:00,44.13,44.4,44.93,43.0
2005-07-11 00:00:00,44.7,43.35,45.15,43.22
2005-07-18 00:00:00,43.55,43.44,44.09,42.54
2005-07-25 00:00:00,43.44,43.89,44.3,42.77
2005-08-01 00:00:00,43.61,47.0,47.7,43.07
2005-08-08 00:00:00,47.0,44.96,47.09,44.55
2005-08-15 00:00:00,44.96,47.19,47.4,44.8
2005-08-22 00:00:00,47.5,48.2,48.71,46.11
2005-08-29 00:00:00,48.2,50.73,51.38,47.6
2005-09-05 00:00:00,51.32,52.0,52.68,47.03
2005-09-12 00:00:00,52.95,52.04,53.95,51.1
2005-09-19 00:00:00,52.04,52.06,52.75,50.5
2005-09-26 00:00:00,51.96,52.02,53.49,51.2
2005-10-03 00:00:00,52.07,46.55,54.59,46.3
2005-10-10 00:00:00,46.94,45.45,50.0,45.26
2005-10-17 00:00:00,45.57,45.51,46.28,44.0
2005-10-24 00:00:00,45.5,43.7,46.88,42.92
2005-10-31 00:00:00,44.08,46.29,46.79,43.5
2005-11-07 00:00:00,46.0,46.92,48.13,45.65
2005-11-14 00:00:00,47.0,49.99,50.17,46.6
2005-11-21 00:00:00,50.05,50.3,50.85,49.0
2005-11-28 00:00:00,50.51,50.95,52.29,48.36
2005-12-05 00:00:00,51.0,49.35,52.17,48.55
2005-12-12 00:00:00,50.34,48.85,50.34,48.48
2005-12-19 00:00:00,48.63,48.95,49.47,48.41
2005-12-26 00:00:00,49.88,50.3,50.89,48.54
2006-01-09 00:00:00,51.01,52.35,53.6,51.01
2006-01-16 00:00:00,53.64,52.03,53.64,50.21
2006-01-23 00:00:00,51.85,52.3,52.95,50.8
2006-01-30 00:00:00,52.33,49.35,52.33,49.0
2006-02-06 00:00:00,49.41,50.0,51.35,49.37
2006-02-13 00:00:00,52.0,56.6,59.49,49.8
2006-02-20 00:00:00,56.89,64.5,65.46,55.02
2006-02-27 00:00:00,64.33,64.3,73.47,61.0
2006-03-06 00:00:00,64.32,60.14,66.0,56.31
2006-03-13 00:00:00,61.0,63.43,64.87,60.7
2006-03-20 00:00:00,63.43,62.2,64.8,61.0
2006-03-27 00:00:00,61.95,61.0,63.0,58.8
2006-04-03 00:00:00,61.2,65.55,65.83,60.8
2006-04-10 00:00:00,64.51,64.8,66.6,62.6
2006-04-17 00:00:00,65.01,66.0,66.65,64.3
2006-04-24 00:00:00,66.45,67.15,68.43,65.5
2006-05-01 00:00:00,68.48,67.19,71.82,66.81
2006-05-08 00:00:00,67.37,59.0,67.7,58.51
2006-05-15 00:00:00,58.5,53.7,60.19,52.99
2006-05-22 00:00:00,55.19,58.16,58.43,49.0
2006-05-29 00:00:00,58.72,67.39,67.89,57.53
2006-06-05 00:00:00,69.4,61.2,69.5,57.1
2006-06-12 00:00:00,55.0,55.0,60.2,53.08
2006-06-19 00:00:00,55.18,55.29,59.44,54.5
2006-06-26 00:00:00,55.23,59.7,60.76,54.55
2006-07-03 00:00:00,59.65,60.0,64.32,55.36
2006-07-10 00:00:00,59.58,57.0,62.0,55.01
2006-07-17 00:00:00,57.0,58.41,61.89,55.1
2006-07-24 00:00:00,58.1,58.46,60.45,57.99
2006-07-31 00:00:00,58.99,58.19,60.69,57.07
2006-08-07 00:00:00,59.0,57.65,59.0,57.0
2006-08-14 00:00:00,57.73,55.51,58.1,55.4
2006-08-21 00:00:00,54.14,56.49,58.5,54.14
2006-08-28 00:00:00,56.49,55.66,57.92,55.07
2006-09-04 00:00:00,56.0,55.74,57.13,55.5
2006-09-11 00:00:00,55.51,55.21,57.0,54.52
2006-09-18 00:00:00,56.8,55.01,56.8,54.4
2006-09-25 00:00:00,55.23,55.8,56.97,54.2
2006-10-02 00:00:00,55.89,56.2,56.95,55.46
2006-10-09 00:00:00,58.2,55.77,58.2,55.15
2006-10-16 00:00:00,55.83,54.92,57.48,54.72
2006-10-23 00:00:00,54.79,54.7,55.62,54.26
2006-10-30 00:00:00,54.7,55.88,56.18,54.25
2006-11-06 00:00:00,55.91,59.34,60.33,55.88
2006-11-13 00:00:00,59.18,60.4,62.35,58.5
2006-11-20 00:00:00,60.45,65.4,66.8,59.42
2006-11-27 00:00:00,65.48,65.5,67.8,61.0
2006-12-04 00:00:00,65.5,68.2,69.35,65.5
2006-12-11 00:00:00,67.5,81.7,81.9,66.16
2006-12-18 00:00:00,81.45,92.4,99.75,81.45
2006-12-25 00:00:00,92.65,90.86,95.28,89.0
2007-01-08 00:00:00,87.0,86.3,93.5,82.25
2007-01-15 00:00:00,87.06,87.7,93.39,85.64
2007-01-22 00:00:00,88.7,88.95,91.15,87.01
2007-01-29 00:00:00,90.0,92.57,94.99,89.02
2007-02-05 00:00:00,92.97,87.3,93.39,86.51
2007-02-12 00:00:00,86.05,88.85,89.6,81.68
2007-02-19 00:00:00,89.0,85.64,89.45,84.9
2007-02-26 00:00:00,85.71,74.38,87.3,72.7
2007-03-05 00:00:00,70.94,71.0,72.55,65.85
2007-03-12 00:00:00,71.84,79.04,85.3,71.1
2007-03-19 00:00:00,80.0,88.6,89.94,79.16
2007-03-26 00:00:00,89.33,84.0,91.22,83.65
2007-04-02 00:00:00,84.2,89.01,90.06,83.2
2007-04-09 00:00:00,89.58,88.97,92.75,87.88
2007-04-16 00:00:00,89.5,92.14,92.47,67.12
2007-04-23 00:00:00,93.0,81.17,93.87,78.62
2007-04-30 00:00:00,81.01,84.95,86.21,79.9
2007-05-07 00:00:00,85.6,78.92,85.9,78.8
2007-05-14 00:00:00,80.0,79.3,82.59,77.0
2007-05-21 00:00:00,79.85,73.75,80.28,71.34
2007-05-28 00:00:00,74.5,73.7,74.74,65.37
2007-06-04 00:00:00,73.01,71.4,74.8,69.1
2007-06-11 00:00:00,71.4,76.34,78.0,70.86
2007-06-18 00:00:00,77.71,76.47,80.4,75.65
2007-06-25 00:00:00,75.26,74.8,76.55,74.53
2007-07-02 00:00:00,74.8,76.48,78.1,74.8
2007-07-09 00:00:00,77.05,77.05,77.7,74.78
2007-07-16 00:00:00,77.17,74.88,77.2,74.45
2007-07-23 00:00:00,74.5,69.56,75.4,68.5
2007-07-30 00:00:00,69.5,68.76,70.15,67.21
2007-08-06 00:00:00,67.55,69.89,74.0,66.99
2007-08-13 00:00:00,70.19,70.02,72.0,67.15
2007-08-20 00:00:00,70.77,68.15,70.88,67.45
2007-08-27 00:00:00,68.48,64.79,68.58,63.53
2007-09-03 00:00:00,64.78,62.08,65.18,61.8
2007-09-10 00:00:00,61.78,60.2,62.39,58.8
2007-09-17 00:00:00,60.64,62.6,63.66,58.68
2007-09-24 00:00:00,62.91,65.4,66.9,62.0
2007-10-01 00:00:00,65.08,65.02,67.33,64.3
2007-10-08 00:00:00,65.5,62.98,65.72,62.6
2007-10-15 00:00:00,63.1,62.01,64.68,61.22
2007-10-22 00:00:00,60.5,63.99,64.54,60.41
2007-10-29 00:00:00,64.4,64.08,65.9,63.55
2007-11-05 00:00:00,64.08,65.69,68.86,62.71
2007-11-12 00:00:00,65.3,65.0,68.37,64.62
2007-11-19 00:00:00,65.4,63.68,65.69,62.57
2007-11-26 00:00:00,63.98,65.34,66.19,62.7
2007-12-03 00:00:00,65.45,67.44,67.57,64.46
2007-12-10 00:00:00,67.4,74.54,79.5,67.01
2007-12-17 00:00:00,74.54,74.38,75.95,72.53
2007-12-24 00:00:00,75.0,69.52,75.47,69.41
2008-01-07 00:00:00,69.52,72.3,72.62,68.3
2008-01-14 00:00:00,71.71,66.59,75.65,64.7
2008-01-21 00:00:00,65.03,57.0,65.5,47.0
2008-01-28 00:00:00,54.0,54.89,57.91,52.67
2008-02-04 00:00:00,56.14,50.69,56.7,48.51
2008-02-11 00:00:00,50.65,53.87,56.85,49.71
2008-02-18 00:00:00,54.05,55.37,57.2,53.92
2008-02-25 00:00:00,55.2,55.9,58.9,54.8
2008-03-03 00:00:00,54.74,54.5,56.6,53.9
2008-03-10 00:00:00,53.74,59.7,60.87,53.74
2008-03-17 00:00:00,58.42,58.2,59.47,54.9
2008-03-24 00:00:00,60.22,57.0,60.22,56.51
2008-03-31 00:00:00,59.85,58.19,59.85,56.58
2008-04-07 00:00:00,58.43,56.6,60.52,56.6
2008-04-14 00:00:00,56.53,56.5,57.1,53.52
2008-04-21 00:00:00,57.0,51.7,58.2,50.85
2008-04-28 00:00:00,51.7,52.15,54.0,50.87
2008-05-05 00:00:00,52.2,51.3,54.67,50.5
2008-05-12 00:00:00,51.49,54.0,56.12,51.1
2008-05-19 00:00:00,54.54,54.5,56.29,54.0
2008-05-26 00:00:00,54.5,53.5,54.5,52.5
2008-06-02 00:00:00,55.26,54.31,55.35,52.31
2008-06-09 00:00:00,55.0,53.65,56.85,52.08
2008-06-16 00:00:00,54.09,52.55,54.84,52.35
2008-06-23 00:00:00,52.55,50.5,52.7,50.02
2008-06-30 00:00:00,50.63,48.75,51.09,47.04
2008-07-07 00:00:00,48.75,45.67,49.7,45.4
