begin,open,close,high,low
2007-07-16 00:00:00,109.0,109.2,111.11,108.01
2007-07-23 00:00:00,109.7,102.41,113.05,100.81
2007-07-30 00:00:00,102.65,102.28,105.64,100.33
2007-08-06 00:00:00,100.53,95.55,103.89,94.31
2007-08-13 00:00:00,96.68,94.8,97.8,88.31
2007-08-20 00:00:00,95.25,93.81,96.44,89.6
2007-08-27 00:00:00,95.19,97.39,97.73,92.01
2007-09-03 00:00:00,97.8,94.2,98.97,93.4
2007-09-10 00:00:00,93.8,96.1,96.85,93.2
2007-09-17 00:00:00,96.01,101.83,103.8,94.5
2007-09-24 00:00:00,102.0,103.5,103.69,98.45
2007-10-01 00:00:00,102.8,102.3,105.8,100.2
2007-10-08 00:00:00,103.0,108.5,108.85,102.6
2007-10-15 00:00:00,109.12,107.41,110.38,105.99
2007-10-22 00:00:00,105.01,107.75,108.53,104.35
2007-10-29 00:00:00,108.5,105.99,108.93,103.63
2007-11-05 00:00:00,105.3,105.25,107.7,104.92
2007-11-12 00:00:00,104.5,103.6,106.5,103.2
2007-11-19 00:00:00,103.66,99.26,104.25,96.8
2007-11-26 00:00:00,100.5,103.74,104.25,98.78
2007-12-03 00:00:00,103.9,104.8,105.58,102.5
2007-12-10 00:00:00,104.7,104.7,109.51,103.44
2007-12-17 00:00:00,103.6,105.69,106.93,102.17
2007-12-24 00:00:00,106.5,102.0,106.79,101.83
2008-01-07 00:00:00,101.98,104.7,105.45,100.72
2008-01-14 00:00:00,104.41,98.8,106.6,97.35
2008-01-21 00:00:00,97.0,94.3,99.4,75.01
2008-01-28 00:00:00,91.0,90.2,94.74,87.08
2008-02-04 00:00:00,92.5,83.89,92.9,82.17
2008-02-11 00:00:00,83.93,83.4,87.83,82.05
2008-02-18 00:00:00,83.95,82.99,85.67,81.85
2008-02-25 00:00:00,82.97,80.2,86.4,79.62
2008-03-03 00:00:00,78.2,74.86,79.7,74.11
2008-03-10 00:00:00,75.03,76.77,80.65,73.8
2008-03-17 00:00:00,74.9,74.46,76.9,71.11
2008-03-24 00:00:00,74.69,73.75,78.0,72.23
2008-03-31 00:00:00,72.91,77.35,79.67,72.4
2008-04-07 00:00:00,78.0,74.4,79.62,74.12
2008-04-14 00:00:00,73.46,76.56,76.91,72.73
2008-04-21 00:00:00,77.0,74.88,77.1,73.12
2008-04-28 00:00:00,75.2,80.34,80.34,74.87
2008-05-05 00:00:00,80.0,81.63,83.48,79.81
2008-05-12 00:00:00,80.99,85.7,86.1,80.25
2008-05-19 00:00:00,86.0,86.32,88.87,85.17
2008-05-26 00:00:00,85.88,85.2,86.18,82.3
2008-06-02 00:00:00,85.17,78.62,85.49,77.82
2008-06-09 00:00:00,78.83,78.5,79.85,77.51
2008-06-16 00:00:00,79.4,79.0,81.79,78.5
2008-06-23 00:00:00,78.5,75.99,79.0,75.35
2008-06-30 00:00:00,75.9,72.32,76.2,70.37
2008-07-07 00:00:00,72.94,72.77,75.85,70.76
2008-07-14 00:00:00,73.32,75.35,77.85,70.25
2008-07-21 00:00:00,76.2,70.25,77.3,68.54
2008-07-28 00:00:00,70.99,67.66,72.45,66.01
2008-08-04 00:00:00,67.5,59.75,67.89,59.61
2008-08-11 00:00:00,59.51,65.63,69.73,54.53
2008-08-18 00:00:00,66.25,62.92,66.8,60.53
2008-08-25 00:00:00,63.39,57.4,63.42,51.0
2008-09-01 00:00:00,56.31,54.4,61.89,50.28
2008-09-08 00:00:00,57.7,47.6,59.45,44.5
2008-09-15 00:00:00,45.5,43.99,46.15,26.31
2008-09-22 00:00:00,46.6,43.78,48.5,40.75
2008-09-29 00:00:00,43.5,42.1,44.99,37.15
2008-10-06 00:00:00,39.12,31.54,39.81,29.5
2008-10-13 00:00:00,33.51,26.18,35.46,25.11
