begin,open,close,high,low
2007-07-16 00:00:00,77.4,77.24,78.3,75.52
2007-07-23 00:00:00,76.5,75.39,81.46,73.4
2007-07-30 00:00:00,75.34,75.74,78.3,74.53
2007-08-06 00:00:00,74.5,71.17,77.2,70.18
2007-08-13 00:00:00,72.0,69.84,72.65,64.96
2007-08-20 00:00:00,70.98,69.01,71.0,66.0
2007-08-27 00:00:00,70.0,70.22,71.0,67.4
2007-09-03 00:00:00,70.92,66.53,70.98,66.04
2007-09-10 00:00:00,66.0,67.4,67.88,65.75
2007-09-17 00:00:00,67.4,68.22,70.2,65.99
2007-09-24 00:00:00,68.92,69.45,70.25,66.45
2007-10-01 00:00:00,69.23,70.0,72.56,67.8
2007-10-08 00:00:00,70.55,70.92,72.35,69.85
2007-10-15 00:00:00,71.47,71.5,73.2,70.12
2007-10-22 00:00:00,70.0,72.94,73.02,69.23
2007-10-29 00:00:00,73.5,72.7,74.01,71.45
2007-11-05 00:00:00,72.95,72.42,74.14,71.94
2007-11-12 00:00:00,72.38,72.28,73.77,72.0
2007-11-19 00:00:00,72.15,69.3,72.65,67.25
2007-11-26 00:00:00,70.0,72.75,73.4,68.75
2007-12-03 00:00:00,72.97,73.47,75.04,72.3
2007-12-10 00:00:00,73.47,72.82,76.31,71.07
2007-12-17 00:00:00,72.0,72.95,73.7,70.9
2007-12-24 00:00:00,73.6,69.97,73.75,69.3
2008-01-07 00:00:00,69.4,70.3,71.1,69.2
2008-01-14 00:00:00,70.13,65.9,71.5,64.5
2008-01-21 00:00:00,65.0,59.91,65.0,49.9
2008-01-28 00:00:00,57.41,53.99,59.25,51.5
2008-02-04 00:00:00,55.1,48.17,55.7,47.22
2008-02-11 00:00:00,47.5,51.68,54.45,47.16
2008-02-18 00:00:00,52.25,52.2,53.28,50.82
2008-02-25 00:00:00,51.62,49.9,54.7,49.7
2008-03-03 00:00:00,49.0,48.25,50.49,47.52
2008-03-10 00:00:00,47.5,49.81,51.84,47.3
2008-03-17 00:00:00,48.49,48.23,49.33,46.2
2008-03-24 00:00:00,48.3,47.3,50.4,46.58
2008-03-31 00:00:00,46.91,48.7,50.8,46.7
2008-04-07 00:00:00,48.8,47.31,50.1,47.15
2008-04-14 00:00:00,46.8,48.75,48.8,46.42
2008-04-21 00:00:00,49.03,47.63,49.14,46.82
2008-04-28 00:00:00,47.96,49.8,49.84,47.28
2008-05-05 00:00:00,49.75,51.16,51.9,49.35
2008-05-12 00:00:00,50.99,56.13,56.2,50.56
2008-05-19 00:00:00,56.62,56.13,58.29,55.41
2008-05-26 00:00:00,56.13,53.95,56.15,52.8
2008-06-02 00:00:00,53.89,50.13,54.02,49.84
2008-06-09 00:00:00,49.55,49.82,50.9,49.45
2008-06-16 00:00:00,50.1,49.09,51.45,49.0
2008-06-23 00:00:00,48.93,46.54,49.11,46.2
2008-06-30 00:00:00,46.11,42.66,46.54,41.56
2008-07-07 00:00:00,42.95,42.8,45.1,42.03
2008-07-14 00:00:00,43.1,43.11,44.97,41.01
2008-07-21 00:00:00,43.6,40.45,43.98,39.78
2008-07-28 00:00:00,41.02,41.41,42.3,38.14
2008-08-04 00:00:00,41.25,35.6,41.75,35.5
2008-08-11 00:00:00,34.13,39.09,40.56,30.0
2008-08-18 00:00:00,39.2,37.32,39.74,35.74
2008-08-25 00:00:00,37.5,33.01,37.75,30.0
2008-09-01 00:00:00,32.28,29.6,34.73,28.85
2008-09-08 00:00:00,30.8,22.85,31.6,21.8
