begin,open,close,high,low
2005-01-10 00:00:00,20.33,20.975,21.129,20.107
2005-01-17 00:00:00,21.087,19.8,21.27,19.65
2005-01-24 00:00:00,19.876,21.11,21.2,19.8
2005-01-31 00:00:00,21.135,21.5,21.83,20.76
2005-02-07 00:00:00,21.55,21.05,22.32,20.81
2005-02-14 00:00:00,21.051,21.31,21.555,20.601
2005-02-21 00:00:00,21.35,22.08,22.093,21.19
2005-02-28 00:00:00,22.15,22.96,23.429,22.01
2005-03-07 00:00:00,23.075,22.07,23.211,21.801
2005-03-14 00:00:00,21.826,20.479,22.19,20.355
2005-03-21 00:00:00,20.556,20.942,21.124,19.751
2005-03-28 00:00:00,20.8,20.805,20.844,19.752
2005-04-04 00:00:00,20.805,21.75,21.9,20.47
2005-04-11 00:00:00,21.78,20.3,21.799,20.16
2005-04-18 00:00:00,20.125,20.35,20.6,19.753
2005-04-25 00:00:00,20.365,19.49,20.8,19.47
2005-05-02 00:00:00,19.558,19.43,19.992,19.38
2005-05-09 00:00:00,20.315,19.261,20.315,18.943
2005-05-16 00:00:00,19.283,19.1,19.375,18.473
2005-05-23 00:00:00,19.497,19.438,20.205,19.07
2005-05-30 00:00:00,19.269,19.977,20.038,19.012
2005-06-06 00:00:00,19.956,20.193,20.296,19.638
2005-06-13 00:00:00,20.273,21.05,21.08,20.273
2005-06-20 00:00:00,21.15,21.663,21.81,20.798
2005-06-27 00:00:00,21.672,21.712,21.788,20.902
2005-07-04 00:00:00,21.744,22.7,22.97,21.744
2005-07-11 00:00:00,21.8,22.111,22.986,21.8
2005-07-18 00:00:00,22.109,22.503,22.895,21.85
2005-07-25 00:00:00,22.71,23.299,23.355,22.3
2005-08-01 00:00:00,23.549,23.27,23.665,22.816
2005-08-08 00:00:00,23.29,23.516,24.48,23.175
2005-08-15 00:00:00,23.605,24.4,24.46,23.349
2005-08-22 00:00:00,24.423,26.029,26.12,24.011
2005-08-29 00:00:00,26.1,27.84,27.899,25.856
2005-09-05 00:00:00,27.872,26.89,27.93,25.65
2005-09-12 00:00:00,28.796,27.955,28.796,25.31
2005-09-19 00:00:00,27.905,29.95,31.71,27.731
