begin,open,close,high,low
2005-01-10 00:00:00,14.95,15.3,15.38,14.86
2005-01-17 00:00:00,15.333,14.802,15.44,14.711
2005-01-24 00:00:00,15.0,15.33,15.467,14.766
2005-01-31 00:00:00,15.33,16.275,16.5,15.2
2005-02-07 00:00:00,16.39,16.926,17.05,16.312
2005-02-14 00:00:00,16.9,16.95,17.04,16.589
2005-02-21 00:00:00,16.95,17.828,18.07,16.9
2005-02-28 00:00:00,17.99,18.411,18.49,17.651
2005-03-07 00:00:00,18.3,18.1,18.899,17.7
2005-03-14 00:00:00,18.11,17.018,18.24,16.628
2005-03-21 00:00:00,17.0,17.382,17.69,16.31
2005-03-28 00:00:00,17.129,17.08,17.129,15.962
2005-04-04 00:00:00,16.996,17.237,17.497,16.77
2005-04-11 00:00:00,17.299,15.8,17.38,15.617
2005-04-18 00:00:00,15.8,15.262,15.828,15.121
2005-04-25 00:00:00,15.823,15.789,16.005,15.283
2005-05-02 00:00:00,15.822,15.341,15.888,15.2
2005-05-09 00:00:00,15.3,14.412,15.478,14.1
2005-05-16 00:00:00,14.55,14.52,14.999,14.241
2005-05-23 00:00:00,14.52,14.708,15.0,14.42
2005-05-30 00:00:00,14.711,14.98,15.085,14.45
2005-06-06 00:00:00,15.0,15.427,15.5,14.753
2005-06-13 00:00:00,15.525,16.048,16.1,15.46
2005-06-20 00:00:00,16.1,16.58,16.778,15.856
2005-06-27 00:00:00,16.564,16.975,16.988,16.227
2005-07-04 00:00:00,17.005,17.3,17.6,16.8
2005-07-11 00:00:00,17.3,17.1,17.74,17.0
2005-07-18 00:00:00,17.053,18.035,18.2,16.801
2005-07-25 00:00:00,18.035,18.626,19.193,17.91
2005-08-01 00:00:00,18.687,19.499,19.579,18.201
2005-08-08 00:00:00,18.498,18.95,20.185,18.498
2005-08-15 00:00:00,19.0,20.213,20.5,18.748
2005-08-22 00:00:00,20.293,20.8,20.95,20.13
2005-08-29 00:00:00,20.78,21.35,21.7,20.44
2005-09-05 00:00:00,21.49,21.023,21.49,19.572
2005-09-12 00:00:00,20.4,22.0,22.245,20.253
2005-09-19 00:00:00,21.925,23.437,24.14,21.777
2005-09-26 00:00:00,23.155,24.7,24.87,22.968
2005-10-03 00:00:00,24.725,23.0,26.5,22.4
2005-10-10 00:00:00,24.023,21.34,25.05,21.31
2005-10-17 00:00:00,21.685,20.6,21.78,19.9
2005-10-24 00:00:00,20.69,20.851,21.771,20.2
2005-10-31 00:00:00,21.001,22.05,22.374,20.86
2005-11-07 00:00:00,22.1,22.701,23.15,21.466
2005-11-14 00:00:00,22.7,23.501,23.79,22.7
2005-11-21 00:00:00,23.52,24.525,25.0,23.52
2005-11-28 00:00:00,24.613,25.135,25.47,24.012
2005-12-05 00:00:00,25.173,25.7,26.09,24.85
2005-12-12 00:00:00,25.65,26.032,26.45,25.51
2005-12-19 00:00:00,25.999,25.9,26.3,25.351
2005-12-26 00:00:00,25.825,25.84,25.997,25.01
2006-01-09 00:00:00,26.969,28.45,29.49,26.82
2006-01-16 00:00:00,28.45,30.077,30.29,27.25
2006-01-23 00:00:00,29.99,31.4,31.6,29.005
2006-01-30 00:00:00,31.45,29.55,31.979,28.8
2006-02-06 00:00:00,30.045,30.31,31.1,29.235
2006-02-13 00:00:00,30.105,31.96,31.96,29.63
2006-02-20 00:00:00,31.95,34.93,36.06,31.726
2006-02-27 00:00:00,35.0,34.603,35.56,22.58
2006-03-06 00:00:00,34.0,31.94,35.3,30.551
2006-03-13 00:00:00,32.14,33.75,34.1,31.811
2006-03-20 00:00:00,33.8,32.05,34.9,31.375
2006-03-27 00:00:00,32.1,32.32,32.785,30.9
2006-04-03 00:00:00,32.3,34.941,35.098,32.116
2006-04-10 00:00:00,35.0,35.907,36.498,34.4
2006-04-17 00:00:00,36.0,37.251,37.52,35.958
2006-04-24 00:00:00,37.414,36.4,37.5,35.012
2006-05-01 00:00:00,36.55,37.999,38.445,36.41
2006-05-08 00:00:00,38.04,35.1,38.04,35.0
2006-05-15 00:00:00,35.302,27.885,35.302,27.885
2006-05-22 00:00:00,28.489,30.3,30.31,23.6
2006-05-29 00:00:00,30.9,30.3,31.13,28.21
2006-06-05 00:00:00,30.5,25.11,31.0,24.2
2006-06-12 00:00:00,23.98,24.75,26.189,22.1
2006-06-19 00:00:00,24.75,24.83,26.3,24.05
2006-06-26 00:00:00,24.895,28.45,29.0,24.7
2006-07-03 00:00:00,28.995,28.0,29.286,26.82
2006-07-10 00:00:00,27.5,27.45,29.2,26.797
2006-07-17 00:00:00,27.425,27.412,27.95,25.999
2006-07-24 00:00:00,27.11,28.4,28.75,27.11
2006-07-31 00:00:00,28.639,29.44,29.7,28.352
2006-08-07 00:00:00,29.267,29.449,29.6,28.61
2006-08-14 00:00:00,29.47,27.0,29.75,27.0
2006-08-21 00:00:00,27.369,27.726,28.1,26.821
2006-08-28 00:00:00,27.721,26.211,27.888,26.1
2006-09-04 00:00:00,26.4,24.644,26.6,24.256
2006-09-11 00:00:00,24.5,23.8,24.55,23.305
2006-09-18 00:00:00,23.924,23.035,24.41,23.035
2006-09-25 00:00:00,23.0,23.391,24.25,22.01
2006-10-02 00:00:00,23.515,22.511,23.742,21.837
2006-10-09 00:00:00,22.675,23.5,23.647,22.427
2006-10-16 00:00:00,23.69,24.42,25.1,23.476
2006-10-23 00:00:00,24.41,24.5,25.25,23.951
2006-10-30 00:00:00,24.439,24.04,24.49,23.663
2006-11-06 00:00:00,24.375,25.4,25.65,24.137
2006-11-13 00:00:00,25.3,24.25,25.88,24.01
2006-11-20 00:00:00,24.225,24.2,24.389,23.601
2006-11-27 00:00:00,24.855,25.1,25.3,23.801
2006-12-04 00:00:00,25.374,26.84,27.6,25.01
2006-12-11 00:00:00,26.5,27.097,27.25,25.771
2006-12-18 00:00:00,27.134,27.57,28.101,26.3
2006-12-25 00:00:00,27.7,29.74,29.829,27.373
2007-01-08 00:00:00,28.105,26.0,28.25,25.711
2007-01-15 00:00:00,26.295,23.492,26.66,23.21
2007-01-22 00:00:00,23.934,23.965,24.95,22.933
2007-01-29 00:00:00,24.15,23.38,24.25,22.78
2007-02-05 00:00:00,23.5,22.995,24.496,22.78
2007-02-12 00:00:00,22.845,22.469,22.886,21.839
2007-02-19 00:00:00,22.6,22.48,22.939,22.03
2007-02-26 00:00:00,22.8,20.2,22.98,19.713
2007-03-05 00:00:00,19.201,19.79,20.124,18.85
2007-03-12 00:00:00,19.861,21.3,22.19,18.77
2007-03-19 00:00:00,20.635,21.003,21.149,19.772
2007-03-26 00:00:00,21.12,21.58,22.35,20.591
2007-04-02 00:00:00,21.6,20.268,21.77,19.936
2007-04-09 00:00:00,20.15,20.61,21.02,20.03
2007-04-16 00:00:00,20.734,20.19,20.82,19.4
2007-04-23 00:00:00,20.452,20.441,21.65,19.804
2007-04-30 00:00:00,20.25,19.82,20.45,19.738
2007-05-07 00:00:00,19.894,18.445,20.01,18.33
2007-05-14 00:00:00,18.79,19.411,19.49,18.25
2007-05-21 00:00:00,19.551,18.5,20.14,18.201
2007-05-28 00:00:00,18.835,18.08,18.835,16.55
2007-06-04 00:00:00,17.701,17.269,18.098,16.8
2007-06-11 00:00:00,17.225,17.49,18.05,17.105
2007-06-18 00:00:00,17.603,17.697,18.373,17.491
2007-06-25 00:00:00,17.595,17.25,17.679,17.096
2007-07-02 00:00:00,17.191,18.5,18.585,17.191
