begin,open,close,high,low
2005-01-10 00:00:00,39.75,39.3,39.9,38.449
2005-01-17 00:00:00,41.158,41.349,41.89,39.603
2005-01-24 00:00:00,41.599,44.751,44.815,41.58
2005-01-31 00:00:00,44.65,46.003,46.4,44.011
2005-02-07 00:00:00,45.65,44.404,46.91,43.8
2005-02-14 00:00:00,44.301,45.5,48.3,38.322
2005-02-21 00:00:00,45.65,49.21,49.28,45.25
2005-02-28 00:00:00,49.335,50.69,50.899,48.12
2005-03-07 00:00:00,49.981,48.41,50.9,47.511
2005-03-14 00:00:00,48.49,45.41,49.22,44.86
2005-03-21 00:00:00,45.59,46.45,46.855,44.005
2005-03-28 00:00:00,46.55,46.501,46.775,43.95
2005-04-04 00:00:00,47.211,49.3,50.364,47.15
2005-04-11 00:00:00,49.337,46.7,49.337,45.73
2005-04-18 00:00:00,45.615,48.55,48.877,45.4
2005-04-25 00:00:00,48.55,46.55,49.42,46.051
2005-05-02 00:00:00,46.8,46.64,47.775,45.75
2005-05-09 00:00:00,46.844,44.7,46.844,43.01
2005-05-16 00:00:00,44.75,46.3,46.895,43.6
2005-05-23 00:00:00,46.37,47.0,47.5,45.1
2005-05-30 00:00:00,47.01,49.798,49.825,46.406
2005-06-06 00:00:00,49.717,51.4,52.75,48.86
2005-06-13 00:00:00,52.32,52.1,52.46,51.15
2005-06-20 00:00:00,52.25,51.44,52.39,50.814
2005-06-27 00:00:00,51.44,53.99,54.2,50.103
2005-07-04 00:00:00,54.2,57.512,59.35,53.814
2005-07-11 00:00:00,55.868,56.0,57.6,55.012
2005-07-18 00:00:00,55.94,57.301,57.83,55.511
2005-07-25 00:00:00,57.301,59.09,59.85,57.301
2005-08-01 00:00:00,58.975,59.165,60.0,57.85
2005-08-08 00:00:00,59.2,59.8,61.485,59.012
2005-08-15 00:00:00,59.688,65.8,68.4,59.688
2005-08-22 00:00:00,65.85,67.2,67.5,64.05
2005-08-29 00:00:00,67.32,72.7,73.7,66.651
2005-09-05 00:00:00,73.5,73.938,74.677,66.3
2005-09-12 00:00:00,73.995,74.67,75.0,70.122
2005-09-19 00:00:00,74.335,82.651,88.0,73.502
2005-09-26 00:00:00,81.6,91.008,92.44,79.501
2005-10-03 00:00:00,91.0,84.956,117.9,81.001
2005-10-10 00:00:00,85.71,76.8,95.0,76.4
2005-10-17 00:00:00,77.25,82.5,82.998,76.0
2005-10-24 00:00:00,82.999,87.389,92.22,82.6
2005-10-31 00:00:00,87.328,97.162,100.5,87.328
2005-11-07 00:00:00,95.975,91.5,96.39,88.762
2005-11-14 00:00:00,91.5,96.681,98.8,90.0
2005-11-21 00:00:00,96.85,97.6,99.499,94.014
2005-11-28 00:00:00,98.18,99.3,101.0,95.0
2005-12-05 00:00:00,99.36,100.65,101.647,98.01
2005-12-12 00:00:00,100.825,100.0,101.72,98.313
2005-12-19 00:00:00,99.49,96.157,99.979,95.761
2005-12-26 00:00:00,96.179,95.3,97.4,93.001
2006-01-09 00:00:00,102.66,104.61,107.1,101.0
