begin,open,close,high,low
2005-01-10 00:00:00,21.11,20.93,21.9,20.5
2005-01-17 00:00:00,21.198,21.95,22.49,21.0
2005-01-24 00:00:00,22.689,23.7,23.7,21.1
2005-01-31 00:00:00,23.65,24.399,25.0,23.5
2005-02-07 00:00:00,24.5,24.199,24.988,23.5
2005-02-14 00:00:00,24.0,24.84,24.95,23.252
2005-02-21 00:00:00,24.86,25.5,25.83,24.585
2005-02-28 00:00:00,25.266,26.3,26.5,24.52
2005-03-07 00:00:00,26.29,25.79,26.751,25.1
2005-03-14 00:00:00,25.377,27.088,27.3,24.73
2005-03-21 00:00:00,27.4,26.5,27.4,25.7
2005-03-28 00:00:00,26.78,26.099,26.78,25.6
2005-04-04 00:00:00,26.399,27.9,28.1,26.212
2005-04-11 00:00:00,28.079,26.731,28.079,26.501
2005-04-18 00:00:00,26.511,27.1,27.599,25.9
2005-04-25 00:00:00,27.17,25.501,27.5,25.01
2005-05-02 00:00:00,25.827,25.246,25.827,24.506
2005-05-09 00:00:00,25.24,23.97,25.24,23.5
2005-05-16 00:00:00,23.75,24.199,24.987,23.04
2005-05-23 00:00:00,24.299,25.15,25.494,23.753
2005-05-30 00:00:00,25.3,25.251,25.6,24.541
2005-06-06 00:00:00,25.549,26.45,26.8,25.25
2005-06-13 00:00:00,26.501,27.01,27.15,26.15
2005-06-20 00:00:00,27.02,27.0,27.47,26.5
2005-06-27 00:00:00,27.0,29.47,29.55,27.0
2005-07-04 00:00:00,29.49,34.0,34.3,29.1
2005-07-11 00:00:00,33.75,31.39,34.2,30.751
2005-07-18 00:00:00,30.9,33.2,33.789,30.757
2005-07-25 00:00:00,33.25,37.497,38.9,33.25
2005-08-01 00:00:00,37.0,37.799,39.0,35.51
2005-08-08 00:00:00,37.827,39.701,40.487,37.0
2005-08-15 00:00:00,39.724,42.9,45.3,39.466
2005-08-22 00:00:00,43.39,43.35,44.309,41.31
2005-08-29 00:00:00,43.5,47.1,47.9,43.203
2005-09-05 00:00:00,47.95,46.7,48.0,42.801
2005-09-12 00:00:00,46.71,46.33,47.47,44.061
2005-09-19 00:00:00,46.495,51.0,51.6,43.7
2005-09-26 00:00:00,49.51,55.3,55.878,49.0
2005-10-03 00:00:00,56.9,57.098,71.85,53.15
2005-10-10 00:00:00,57.5,49.499,64.999,48.84
2005-10-17 00:00:00,50.89,51.2,52.999,47.605
2005-10-24 00:00:00,51.7,51.8,55.38,49.431
2005-10-31 00:00:00,51.8,59.15,60.39,51.8
2005-11-07 00:00:00,58.03,57.55,59.996,55.302
2005-11-14 00:00:00,56.855,61.2,62.55,56.56
2005-11-21 00:00:00,61.55,61.4,62.89,59.508
2005-11-28 00:00:00,61.425,62.05,63.0,59.8
2005-12-05 00:00:00,62.1,62.0,64.879,60.116
2005-12-12 00:00:00,61.655,61.89,62.93,61.15
2005-12-19 00:00:00,61.99,61.44,62.1,60.5
2005-12-26 00:00:00,60.999,62.99,67.9,58.526
2006-01-09 00:00:00,66.7,72.15,73.459,64.001
2006-01-16 00:00:00,72.5,78.8,79.8,70.61
2006-01-23 00:00:00,78.0,78.62,79.75,75.0
2006-01-30 00:00:00,80.005,82.32,86.845,76.1
2006-02-06 00:00:00,82.268,85.0,87.79,81.5
2006-02-13 00:00:00,84.0,85.5,85.97,80.0
2006-02-20 00:00:00,85.55,98.0,101.0,85.55
2006-02-27 00:00:00,97.5,106.999,110.2,91.0
2006-03-06 00:00:00,102.65,89.9,108.89,88.6
2006-03-13 00:00:00,92.067,93.0,94.895,84.0
2006-03-20 00:00:00,94.7,92.98,98.0,90.701
2006-03-27 00:00:00,92.052,87.631,93.5,85.235
2006-04-03 00:00:00,87.0,91.199,91.67,87.0
2006-04-10 00:00:00,91.199,92.5,95.0,89.001
2006-04-17 00:00:00,96.181,94.3,99.0,92.501
2006-04-24 00:00:00,95.21,92.6,95.77,90.0
2006-05-01 00:00:00,93.89,95.7,96.49,93.0
2006-05-08 00:00:00,97.13,92.9,97.25,91.1
2006-05-15 00:00:00,91.0,76.0,94.99,71.0
2006-05-22 00:00:00,79.97,85.0,88.0,68.01
2006-05-29 00:00:00,88.0,85.01,88.0,77.6
2006-06-05 00:00:00,86.25,72.01,86.85,71.0
2006-06-12 00:00:00,70.01,70.4,75.0,62.7
2006-06-19 00:00:00,68.06,66.0,73.0,64.6
2006-06-26 00:00:00,67.87,70.16,79.49,59.71
2006-07-03 00:00:00,70.99,69.4,76.5,66.1
2006-07-10 00:00:00,69.0,70.17,73.24,67.35
2006-07-17 00:00:00,68.53,71.24,74.0,67.0
2006-07-24 00:00:00,71.3,74.9,75.93,70.1
2006-07-31 00:00:00,75.5,78.0,78.0,73.01
2006-08-07 00:00:00,77.95,78.0,78.99,75.66
2006-08-14 00:00:00,78.49,85.0,90.98,77.22
2006-08-21 00:00:00,85.11,87.01,89.3,83.0
2006-08-28 00:00:00,87.4,82.7,87.4,82.0
2006-09-04 00:00:00,84.99,77.49,87.45,77.02
2006-09-11 00:00:00,76.11,73.7,77.3,70.0
2006-09-18 00:00:00,75.84,69.58,75.97,69.11
2006-09-25 00:00:00,68.61,72.25,74.59,65.17
2006-10-02 00:00:00,72.99,70.2,73.49,66.0
2006-10-09 00:00:00,70.27,71.75,72.78,68.05
2006-10-16 00:00:00,72.0,70.53,72.8,70.0
2006-10-23 00:00:00,70.05,71.39,72.51,69.75
2006-10-30 00:00:00,71.41,71.2,71.83,69.1
2006-11-06 00:00:00,71.3,75.5,76.47,70.7
2006-11-13 00:00:00,75.0,78.63,81.15,74.3
2006-11-20 00:00:00,77.79,77.4,80.0,69.99
2006-11-27 00:00:00,77.95,77.4,79.9,76.0
2006-12-04 00:00:00,77.77,77.99,78.96,77.13
2006-12-11 00:00:00,77.99,77.5,78.0,73.5
2006-12-18 00:00:00,77.5,76.86,78.5,74.5
2006-12-25 00:00:00,76.87,77.31,78.28,75.5
2007-01-08 00:00:00,76.58,72.22,76.58,71.5
2007-01-15 00:00:00,75.24,73.44,75.24,70.05
2007-01-22 00:00:00,73.47,72.49,74.22,71.6
2007-01-29 00:00:00,72.77,71.85,73.89,71.01
2007-02-05 00:00:00,73.35,72.3,73.98,71.4
2007-02-12 00:00:00,72.0,70.85,72.49,68.13
2007-02-19 00:00:00,71.01,71.6,72.0,66.31
2007-02-26 00:00:00,73.0,69.38,75.6,64.0
2007-03-05 00:00:00,67.0,70.0,71.5,58.0
2007-03-12 00:00:00,70.0,69.5,71.3,65.2
2007-03-19 00:00:00,70.9,72.0,72.5,69.0
2007-03-26 00:00:00,71.57,75.75,77.0,71.57
2007-04-02 00:00:00,74.5,78.35,78.88,71.7
2007-04-09 00:00:00,78.76,76.88,79.4,75.5
2007-04-16 00:00:00,77.38,78.45,78.88,72.71
2007-04-23 00:00:00,78.43,76.05,79.45,75.0
2007-04-30 00:00:00,76.78,78.98,79.9,76.78
2007-05-07 00:00:00,79.15,77.59,79.5,76.4
2007-05-14 00:00:00,76.76,69.63,76.76,68.8
2007-05-21 00:00:00,71.21,67.9,71.21,63.55
2007-05-28 00:00:00,67.52,65.5,67.98,62.99
2007-06-04 00:00:00,65.5,65.61,66.85,64.17
2007-06-11 00:00:00,64.73,67.3,68.3,64.5
2007-06-18 00:00:00,67.63,68.0,68.85,66.7
